servername,gamescore,servePointProbability
Czech Republic Doubles,0-0,.42857143
Czech Republic Doubles,0-15,.75
Czech Republic Doubles,0-30,1
Czech Republic Doubles,15-0,.66666669
Czech Republic Doubles,15-15,.875
Czech Republic Doubles,15-30,1
Czech Republic Doubles,30-0,.5
Czech Republic Doubles,30-15,.77777779
Czech Republic Doubles,30-30,1
Czech Republic Doubles,40-0,1
Czech Republic Doubles,40-15,.5714286
Czech Republic Doubles,40-30,.625
Czech Republic Doubles,40-40,.33333334
Czech Republic Doubles,40-50,0
Czech Republic Doubles,50-40,1
Aleksandr Nedovesov,0-0,.66666669
Aleksandr Nedovesov,0-15,.66666669
Aleksandr Nedovesov,0-30,0
Aleksandr Nedovesov,0-40,1
Aleksandr Nedovesov,15-0,.5
Aleksandr Nedovesov,15-15,.2
Aleksandr Nedovesov,15-30,.5
Aleksandr Nedovesov,15-40,0
Aleksandr Nedovesov,30-0,1
Aleksandr Nedovesov,30-15,0
Aleksandr Nedovesov,30-30,.33333334
Aleksandr Nedovesov,30-40,1
Aleksandr Nedovesov,40-0,.66666669
Aleksandr Nedovesov,40-15,1
Aleksandr Nedovesov,40-30,0
Aleksandr Nedovesov,40-40,.75
Aleksandr Nedovesov,40-50,1
Aleksandr Nedovesov,50-40,1
Aljaz Bedene,0-0,.68529409
Aljaz Bedene,0-15,.60747665
Aljaz Bedene,0-30,.64285713
Aljaz Bedene,0-40,.73333335
Aljaz Bedene,15-0,.65665233
Aljaz Bedene,15-15,.65517241
Aljaz Bedene,15-30,.61038959
Aljaz Bedene,15-40,.53658539
Aljaz Bedene,30-0,.66013074
Aljaz Bedene,30-15,.62585032
Aljaz Bedene,30-30,.627451
Aljaz Bedene,30-40,.61666667
Aljaz Bedene,40-0,.60396039
Aljaz Bedene,40-15,.68939394
Aljaz Bedene,40-30,.58095241
Aljaz Bedene,40-40,.70129871
Aljaz Bedene,40-50,.5869565
Aljaz Bedene,50-40,.57407409
Novak Djokovic,0-0,.70009738
Novak Djokovic,0-15,.65259743
Novak Djokovic,0-30,.66355139
Novak Djokovic,0-40,.6388889
Novak Djokovic,15-0,.66342139
Novak Djokovic,15-15,.67945826
Novak Djokovic,15-30,.67136151
Novak Djokovic,15-40,.65591395
Novak Djokovic,30-0,.7148847
