servername,gamescore,servePointProbability_top20,servePointFreq_top20,playerScore,opponentScore
Benoit Paire,15-15,.60606062,66,1,1
Benoit Paire,15-30,.42857143,35,1,2
Benoit Paire,15-40,.54545456,22,1,3
Benoit Paire,30-0,.60000002,50,2,0
Benoit Paire,30-15,.60000002,60,2,1
Benoit Paire,30-30,.66666669,39,2,2
Benoit Paire,30-40,.28,25,2,3
Benoit Paire,40-0,.63333333,30,3,0
Benoit Paire,40-15,.74468082,47,3,1
Benoit Paire,40-30,.52631581,38,3,2
Benoit Paire,40-40,.53448278,58,3,3
Benoit Paire,40-50,.62962961,27,3,4
Benoit Paire,50-40,.48387095,31,4,3
Bernard Tomic,0-0,.67582417,182,0,0
Bernard Tomic,0-15,.59322035,59,0,1
Bernard Tomic,0-30,.66666669,24,0,2
Bernard Tomic,0-40,.875,8,0,3
Bernard Tomic,100-100,.66666669,3,7,7
Bernard Tomic,100-101,1,4,7,7
Bernard Tomic,101-100,0,1,7,7
Bernard Tomic,101-101,.80000001,5,7,7
Bernard Tomic,101-102,0,2,7,7
Bernard Tomic,101-103,.5,2,7,7
Bernard Tomic,101-104,1,1,7,7
Bernard Tomic,102-103,.66666669,3,7,7
Bernard Tomic,102-104,.5,2,7,7
Bernard Tomic,102-105,1,1,7,7
Bernard Tomic,103-100,1,1,7,7
Bernard Tomic,103-102,1,1,7,7
Bernard Tomic,103-103,.5,2,7,7
Bernard Tomic,103-104,1,1,7,7
Bernard Tomic,103-105,0,1,7,7
Bernard Tomic,104-100,1,1,7,7
Bernard Tomic,104-102,1,1,7,7
Bernard Tomic,104-104,1,1,7,7
Bernard Tomic,104-105,.66666669,3,7,7
Bernard Tomic,104-106,1,1,7,8
Bernard Tomic,105-105,1,2,7,7
Bernard Tomic,105-106,1,1,7,8
Bernard Tomic,106-101,1,1,8,7
Bernard Tomic,106-103,.5,2,8,7
Bernard Tomic,106-104,1,1,8,7
Bernard Tomic,106-106,1,1,8,8
Bernard Tomic,106-107,0,1,8,8
Bernard Tomic,107-106,.5,2,8,8
Bernard Tomic,107-107,0,1,8,8
Bernard Tomic,15-0,.62601626,123,1,0
Bernard Tomic,15-15,.60493827,81,1,1
Bernard Tomic,15-30,.66666669,48,1,2
Bernard Tomic,15-40,.78260869,23,1,3
Bernard Tomic,30-0,.71428573,77,2,0
Bernard Tomic,30-15,.63380283,71,2,1
Bernard Tomic,30-30,.67241377,58,2,2
Bernard Tomic,30-40,.72972971,37,2,3
Bernard Tomic,40-0,.70909089,55,3,0
Bernard Tomic,40-15,.6885246,61,3,1
Bernard Tomic,40-30,.62068963,58,3,2
Bernard Tomic,40-40,.57692307,104,3,3
Bernard Tomic,40-50,.72727275,44,3,4
Bernard Tomic,50-40,.61666667,60,4,3
Blaz Kavcic,0-0,.68000001,25,0,0
Blaz Kavcic,0-15,.75,8,0,1
Blaz Kavcic,0-30,1,2,0,2
Blaz Kavcic,100-100,0,1,7,7
Blaz Kavcic,101-102,0,1,7,7
Blaz Kavcic,101-103,1,1,7,7
Blaz Kavcic,103-104,0,1,7,7
Blaz Kavcic,103-105,1,1,7,7
Blaz Kavcic,106-105,1,1,8,7
Blaz Kavcic,15-0,.35294119,17,1,0
Blaz Kavcic,15-15,.70588237,17,1,1
Blaz Kavcic,15-30,.5714286,7,1,2
Blaz Kavcic,15-40,.33333334,3,1,3
Blaz Kavcic,30-0,.66666669,6,2,0
Blaz Kavcic,30-15,.64285713,14,2,1
Blaz Kavcic,30-30,.66666669,9,2,2
Blaz Kavcic,30-40,.25,4,2,3
Blaz Kavcic,40-0,.75,4,3,0
Blaz Kavcic,40-15,.60000002,10,3,1
Blaz Kavcic,40-30,.5,10,3,2
Blaz Kavcic,40-40,.60000002,10,3,3
Blaz Kavcic,40-50,.25,4,3,4
Blaz Kavcic,50-40,.5,6,4,3
Borna Coric,0-0,.62580645,155,0,0
Borna Coric,0-15,.65517241,58,0,1
Borna Coric,0-30,.5,20,0,2
Borna Coric,0-40,.30000001,10,0,3
Borna Coric,100-101,1,2,7,7
Borna Coric,101-101,0,2,7,7
Borna Coric,101-104,0,1,7,7
Borna Coric,101-105,0,1,7,7
Borna Coric,102-103,1,1,7,7
Borna Coric,103-103,1,1,7,7
Borna Coric,106-103,1,1,8,7
Borna Coric,15-0,.69072163,97,1,0
Borna Coric,15-15,.61764705,68,1,1
Borna Coric,15-30,.55555558,36,1,2
Borna Coric,15-40,.52631581,19,1,3
Borna Coric,30-0,.62686568,67,2,0
Borna Coric,30-15,.5970149,67,2,1
Borna Coric,30-30,.65957445,47,2,2
Borna Coric,30-40,.57692307,26,2,3
Borna Coric,40-0,.66666669,42,3,0
Borna Coric,40-15,.57407409,54,3,1
Borna Coric,40-30,.64814812,54,3,2
Borna Coric,40-40,.5625,64,3,3
Borna Coric,40-50,.64285713,28,3,4
Borna Coric,50-40,.66666669,36,4,3
Carlos Berlocq,0-0,.62711865,59,0,0
Carlos Berlocq,0-15,.5,22,0,1
Carlos Berlocq,0-30,.63636363,11,0,2
Carlos Berlocq,0-40,.25,4,0,3
Carlos Berlocq,101-100,1,2,7,7
Carlos Berlocq,102-100,.5,2,7,7
Carlos Berlocq,103-102,0,1,7,7
Carlos Berlocq,103-103,0,1,7,7
Carlos Berlocq,104-101,1,1,7,7
Carlos Berlocq,104-105,1,1,7,7
Carlos Berlocq,105-101,1,1,7,7
Carlos Berlocq,105-105,1,1,7,7
Carlos Berlocq,106-103,0,1,8,7
Carlos Berlocq,106-104,0,1,8,7
Carlos Berlocq,106-107,1,1,8,8
Carlos Berlocq,107-106,0,1,8,8
Carlos Berlocq,107-107,.5,2,8,8
Carlos Berlocq,109-108,0,1,8,8
Carlos Berlocq,109-109,1,1,8,8
Carlos Berlocq,15-0,.54054052,37,1,0
Carlos Berlocq,15-15,.60714287,28,1,1
Carlos Berlocq,15-30,.66666669,18,1,2
Carlos Berlocq,15-40,.85714287,7,1,3
Carlos Berlocq,30-0,.55000001,20,2,0
Carlos Berlocq,30-15,.61538464,26,2,1
Carlos Berlocq,30-30,.68181819,22,2,2
Carlos Berlocq,30-40,.76923078,13,2,3
Carlos Berlocq,40-0,.63636363,11,3,0
Carlos Berlocq,40-15,.55000001,20,3,1
Carlos Berlocq,40-30,.54166669,24,3,2
Carlos Berlocq,40-40,.7027027,37,3,3
Carlos Berlocq,40-50,.63636363,11,3,4
Carlos Berlocq,50-40,.65384614,26,4,3
Christian Lindell,0-0,.72727275,11,0,0
Christian Lindell,0-15,.66666669,3,0,1
Christian Lindell,0-30,1,1,0,2
Christian Lindell,15-0,.75,8,1,0
Christian Lindell,15-15,.5,4,1,1
Christian Lindell,15-30,.66666669,3,1,2
Christian Lindell,15-40,1,1,1,3
Christian Lindell,30-0,.66666669,6,2,0
Christian Lindell,30-15,.75,4,2,1
Christian Lindell,30-30,.33333334,3,2,2
Christian Lindell,30-40,.33333334,3,2,3
Christian Lindell,40-0,1,4,3,0
Christian Lindell,40-15,.66666669,3,3,1
Christian Lindell,40-30,.5,2,3,2
Christian Lindell,40-40,.75,4,3,3
Christian Lindell,40-50,1,1,3,4
Christian Lindell,50-40,.66666669,3,4,3
Damir Dzumhur,0-0,.65957445,47,0,0
Damir Dzumhur,0-15,.5625,16,0,1
Damir Dzumhur,0-30,.71428573,7,0,2
Damir Dzumhur,0-40,.5,2,0,3
Damir Dzumhur,100-100,0,1,7,7
Damir Dzumhur,101-102,0,1,7,7
Damir Dzumhur,101-103,1,1,7,7
Damir Dzumhur,104-103,0,1,7,7
Damir Dzumhur,104-104,0,1,7,7
Damir Dzumhur,15-0,.67741936,31,1,0
Damir Dzumhur,15-15,.52631581,19,1,1
Damir Dzumhur,15-30,.35714287,14,1,2
Damir Dzumhur,15-40,.5,10,1,3
Damir Dzumhur,30-0,.61904764,21,2,0
Damir Dzumhur,30-15,.77777779,18,2,1
Damir Dzumhur,30-30,.8888889,9,2,2
Damir Dzumhur,30-40,.66666669,6,2,3
Damir Dzumhur,40-0,.69230771,13,3,0
Damir Dzumhur,40-15,.77777779,18,3,1
Damir Dzumhur,40-30,.66666669,12,3,2
Damir Dzumhur,40-40,.71428573,14,3,3
Damir Dzumhur,40-50,.25,4,3,4
Damir Dzumhur,50-40,.5,10,4,3
Daniel Gimeno-Traver,0-0,.55072463,69,0,0
Daniel Gimeno-Traver,0-15,.61290324,31,0,1
Daniel Gimeno-Traver,0-30,.58333331,12,0,2
Daniel Gimeno-Traver,0-40,.40000001,5,0,3
Daniel Gimeno-Traver,100-100,1,1,7,7
Daniel Gimeno-Traver,100-101,0,1,7,7
Daniel Gimeno-Traver,100-102,0,1,7,7
Daniel Gimeno-Traver,100-105,1,1,7,7
Daniel Gimeno-Traver,101-105,1,1,7,7
Daniel Gimeno-Traver,102-101,1,1,7,7
Daniel Gimeno-Traver,103-101,0,1,7,7
Daniel Gimeno-Traver,103-106,1,1,7,8
Daniel Gimeno-Traver,104-103,1,1,7,7
Daniel Gimeno-Traver,104-106,0,1,7,8
Daniel Gimeno-Traver,105-103,0,1,7,7
Daniel Gimeno-Traver,105-106,0,1,7,8
Daniel Gimeno-Traver,15-0,.65789473,38,1,0
Daniel Gimeno-Traver,15-15,.625,32,1,1
Daniel Gimeno-Traver,15-30,.7368421,19,1,2
Daniel Gimeno-Traver,15-40,.71428573,7,1,3
Daniel Gimeno-Traver,30-0,.68000001,25,2,0
Daniel Gimeno-Traver,30-15,.60714287,28,2,1
Daniel Gimeno-Traver,30-30,.60000002,25,2,2
Daniel Gimeno-Traver,30-40,.46666667,15,2,3
Daniel Gimeno-Traver,40-0,.64705884,17,3,0
Daniel Gimeno-Traver,40-15,.78260869,23,3,1
Daniel Gimeno-Traver,40-30,.75,20,3,2
Daniel Gimeno-Traver,40-40,.5,18,3,3
Daniel Gimeno-Traver,40-50,.44444445,9,3,4
Daniel Gimeno-Traver,50-40,.77777779,9,4,3
David Ferrer,0-0,.57931036,290,0,0
David Ferrer,0-15,.54098362,122,0,1
David Ferrer,0-30,.64285713,56,0,2
David Ferrer,0-40,.60000002,20,0,3
David Ferrer,100-100,.60000002,5,7,7
David Ferrer,100-103,1,2,7,7
David Ferrer,101-100,1,2,7,7
David Ferrer,101-103,0,2,7,7
David Ferrer,101-106,1,2,7,8
David Ferrer,102-100,0,2,7,7
David Ferrer,102-101,0,2,7,7
David Ferrer,102-102,0,2,7,7
David Ferrer,102-106,1,2,7,8
David Ferrer,103-100,0,1,7,7
David Ferrer,103-101,1,1,7,7
David Ferrer,103-102,1,1,7,7
David Ferrer,103-104,1,1,7,7
David Ferrer,104-101,0,1,7,7
David Ferrer,104-102,1,2,7,7
David Ferrer,104-103,1,1,7,7
David Ferrer,104-104,0,1,7,7
David Ferrer,105-102,1,1,7,7
David Ferrer,105-103,1,1,7,7
David Ferrer,105-104,0,1,7,7
David Ferrer,105-105,1,1,7,7
David Ferrer,106-102,1,1,8,7
David Ferrer,106-103,0,1,8,7
David Ferrer,106-104,1,1,8,7
David Ferrer,106-105,1,2,8,7
David Ferrer,107-106,1,1,8,8
David Ferrer,15-0,.52976191,168,1,0
David Ferrer,15-15,.54482758,145,1,1
David Ferrer,15-30,.55882353,102,1,2
David Ferrer,15-40,.49122807,57,1,3
David Ferrer,30-0,.67415732,89,2,0
David Ferrer,30-15,.6574074,108,2,1
David Ferrer,30-30,.68085104,94,2,2
David Ferrer,30-40,.51724136,58,2,3
David Ferrer,40-0,.76666665,60,3,0
David Ferrer,40-15,.62352943,85,3,1
David Ferrer,40-30,.57291669,96,3,2
David Ferrer,40-40,.62878788,132,3,3
David Ferrer,40-50,.6122449,49,3,4
David Ferrer,50-40,.62650603,83,4,3
David Goffin,0-0,.54658383,161,0,0
David Goffin,0-15,.6438356,73,0,1
David Goffin,0-30,.73076922,26,0,2
David Goffin,0-40,.71428573,7,0,3
David Goffin,100-101,.66666669,3,7,7
David Goffin,100-102,0,1,7,7
David Goffin,101-100,1,1,7,7
David Goffin,101-101,1,2,7,7
David Goffin,101-104,1,1,7,7
David Goffin,102-100,1,1,7,7
David Goffin,102-104,1,1,7,7
David Goffin,103-102,0,2,7,7
David Goffin,103-103,1,2,7,7
David Goffin,103-106,0,1,7,8
David Goffin,104-101,0,1,7,7
David Goffin,104-102,0,1,7,7
David Goffin,104-105,1,1,7,7
David Goffin,105-104,0,2,7,7
David Goffin,105-105,1,3,7,7
David Goffin,106-107,1,1,8,8
David Goffin,107-106,1,1,8,8
David Goffin,107-107,1,1,8,8
David Goffin,15-0,.63636363,88,1,0
David Goffin,15-15,.63291138,79,1,1
David Goffin,15-30,.60416669,48,1,2
David Goffin,15-40,.58333331,24,1,3
David Goffin,30-0,.60714287,56,2,0
David Goffin,30-15,.54166669,72,2,1
David Goffin,30-30,.53225809,62,2,2
David Goffin,30-40,.60465115,43,2,3
David Goffin,40-0,.67647058,34,3,0
David Goffin,40-15,.51999998,50,3,1
David Goffin,40-30,.64912283,57,3,2
David Goffin,40-40,.5925926,81,3,3
David Goffin,40-50,.54545456,33,3,4
David Goffin,50-40,.64583331,48,4,3
Denis Istomin,0-0,.70689654,58,0,0
Denis Istomin,0-15,.47058824,17,0,1
Denis Istomin,0-30,.33333334,9,0,2
Denis Istomin,0-40,.83333331,6,0,3
Denis Istomin,100-100,1,1,7,7
Denis Istomin,101-102,0,1,7,7
Denis Istomin,101-103,0,1,7,7
Denis Istomin,102-105,1,1,7,7
Denis Istomin,103-105,0,1,7,7
Denis Istomin,15-0,.63414633,41,1,0
Denis Istomin,15-15,.47826087,23,1,1
Denis Istomin,15-30,.60000002,15,1,2
Denis Istomin,15-40,.63636363,11,1,3
Denis Istomin,30-0,.57692307,26,2,0
Denis Istomin,30-15,.59090906,22,2,1
Denis Istomin,30-30,.72222221,18,2,2
Denis Istomin,30-40,.66666669,12,2,3
Denis Istomin,40-0,.80000001,15,3,0
Denis Istomin,40-15,.625,16,3,1
Denis Istomin,40-30,.68421054,19,3,2
Denis Istomin,40-40,.47619048,21,3,3
Denis Istomin,40-50,.45454547,11,3,4
Denis Istomin,50-40,.80000001,10,4,3
Denis Kudla,0-0,.6857143,35,0,0
Denis Kudla,0-15,.27272728,11,0,1
Denis Kudla,0-30,.75,8,0,2
Denis Kudla,0-40,.5,2,0,3
Denis Kudla,15-0,.66666669,24,1,0
Denis Kudla,15-15,.72727275,11,1,1
Denis Kudla,15-30,.77777779,9,1,2
Denis Kudla,15-40,1,3,1,3
Denis Kudla,30-0,.75,16,2,0
Denis Kudla,30-15,.75,12,2,1
Denis Kudla,30-30,.60000002,10,2,2
Denis Kudla,30-40,.85714287,7,2,3
Denis Kudla,40-0,.66666669,12,3,0
Denis Kudla,40-15,.46153846,13,3,1
Denis Kudla,40-30,.69230771,13,3,2
Denis Kudla,40-40,.6111111,18,3,3
Denis Kudla,40-50,.42857143,7,3,4
Denis Kudla,50-40,.54545456,11,4,3
Di Wu,0-0,.72000003,25,0,0
Di Wu,0-15,.5714286,7,0,1
Di Wu,0-30,.33333334,3,0,2
Di Wu,0-40,.5,2,0,3
Di Wu,100-101,1,1,7,7
Di Wu,101-101,1,1,7,7
Di Wu,104-101,1,1,7,7
Di Wu,105-101,0,1,7,7
Di Wu,105-104,1,1,7,7
Di Wu,106-104,1,1,8,7
Di Wu,15-0,.5,18,1,0
Di Wu,15-15,.61538464,13,1,1
Di Wu,15-30,.33333334,6,1,2
Di Wu,15-40,.40000001,5,1,3
Di Wu,30-0,.33333334,9,2,0
Di Wu,30-15,.64285713,14,2,1
Di Wu,30-30,.2857143,7,2,2
Di Wu,30-40,.5714286,7,2,3
Di Wu,40-0,.66666669,3,3,0
Di Wu,40-15,.69999999,10,3,1
Di Wu,40-30,.60000002,5,3,2
Di Wu,40-40,.66666669,9,3,3
Di Wu,40-50,.33333334,3,3,4
Di Wu,50-40,.66666669,6,4,3
Diego Schwartzman,0-0,.56756759,37,0,0
Diego Schwartzman,0-15,.5,16,0,1
Diego Schwartzman,0-30,.5,8,0,2
Diego Schwartzman,0-40,.25,4,0,3
Diego Schwartzman,15-0,.42857143,21,1,0
Diego Schwartzman,15-15,.64999998,20,1,1
Diego Schwartzman,15-30,.45454547,11,1,2
Diego Schwartzman,15-40,.85714287,7,1,3
Diego Schwartzman,30-0,.55555558,9,2,0
Diego Schwartzman,30-15,.58823532,17,2,1
Diego Schwartzman,30-30,.66666669,12,2,2
Diego Schwartzman,30-40,.69999999,10,2,3
Diego Schwartzman,40-0,.60000002,5,3,0
Diego Schwartzman,40-15,.75,12,3,1
Diego Schwartzman,40-30,.63636363,11,3,2
Diego Schwartzman,40-40,.70833331,24,3,3
Diego Schwartzman,40-50,.71428573,7,3,4
Diego Schwartzman,50-40,.52941179,17,4,3
Diego Sebastian Schwartzman,0-0,.58333331,60,0,0
Diego Sebastian Schwartzman,0-15,.56,25,0,1
Diego Sebastian Schwartzman,0-30,.63636363,11,0,2
Diego Sebastian Schwartzman,0-40,.5,4,0,3
Diego Sebastian Schwartzman,100-100,0,1,7,7
Diego Sebastian Schwartzman,100-101,.5,2,7,7
Diego Sebastian Schwartzman,100-102,1,1,7,7
Diego Sebastian Schwartzman,100-103,0,1,7,7
Diego Sebastian Schwartzman,100-104,0,1,7,7
Diego Sebastian Schwartzman,101-101,1,1,7,7
Diego Sebastian Schwartzman,102-103,1,1,7,7
Diego Sebastian Schwartzman,103-102,0,1,7,7
Diego Sebastian Schwartzman,103-103,1,2,7,7
Diego Sebastian Schwartzman,105-104,0,2,7,7
Diego Sebastian Schwartzman,105-105,0,2,7,7
Diego Sebastian Schwartzman,15-0,.80000001,35,1,0
Diego Sebastian Schwartzman,15-15,.42857143,21,1,1
Diego Sebastian Schwartzman,15-30,.78947371,19,1,2
Diego Sebastian Schwartzman,15-40,.5,6,1,3
Diego Sebastian Schwartzman,30-0,.71428573,28,2,0
Diego Sebastian Schwartzman,30-15,.41176471,17,2,1
Diego Sebastian Schwartzman,30-30,.72000003,25,2,2
Diego Sebastian Schwartzman,30-40,.69999999,10,2,3
Diego Sebastian Schwartzman,40-0,.55000001,20,3,0
Diego Sebastian Schwartzman,40-15,.4375,16,3,1
Diego Sebastian Schwartzman,40-30,.48148149,27,3,2
Diego Sebastian Schwartzman,40-40,.55000001,40,3,3
Diego Sebastian Schwartzman,40-50,.55555558,18,3,4
Diego Sebastian Schwartzman,50-40,.59090906,22,4,3
Dominic Thiem,0-0,.60000002,105,0,0
Dominic Thiem,0-15,.69047618,42,0,1
Dominic Thiem,0-30,.69230771,13,0,2
Dominic Thiem,0-40,.75,4,0,3
Dominic Thiem,100-100,1,1,7,7
Dominic Thiem,100-101,.2,5,7,7
Dominic Thiem,100-102,.5,4,7,7
Dominic Thiem,100-105,0,1,7,7
Dominic Thiem,100-106,1,1,7,8
Dominic Thiem,101-100,1,1,7,7
Dominic Thiem,101-101,1,1,7,7
Dominic Thiem,101-102,0,1,7,7
Dominic Thiem,101-103,1,1,7,7
Dominic Thiem,101-104,1,1,7,7
Dominic Thiem,102-100,1,1,7,7
Dominic Thiem,102-103,1,3,7,7
Dominic Thiem,102-104,0,1,7,7
Dominic Thiem,102-105,1,1,7,7
Dominic Thiem,103-103,.66666669,3,7,7
Dominic Thiem,103-105,0,1,7,7
Dominic Thiem,103-106,0,1,7,8
Dominic Thiem,104-101,1,1,7,7
Dominic Thiem,104-105,0,1,7,7
Dominic Thiem,104-106,1,1,7,8
Dominic Thiem,105-101,0,1,7,7
Dominic Thiem,105-104,1,2,7,7
Dominic Thiem,106-103,1,1,8,7
Dominic Thiem,106-104,.5,2,8,7
Dominic Thiem,15-0,.5714286,63,1,0
Dominic Thiem,15-15,.6785714,56,1,1
Dominic Thiem,15-30,.5925926,27,1,2
Dominic Thiem,15-40,.5714286,14,1,3
Dominic Thiem,30-0,.75,36,2,0
Dominic Thiem,30-15,.61702126,47,2,1
Dominic Thiem,30-30,.70588237,34,2,2
Dominic Thiem,30-40,.72222221,18,2,3
Dominic Thiem,40-0,.77777779,27,3,0
Dominic Thiem,40-15,.65714288,35,3,1
Dominic Thiem,40-30,.80555558,36,3,2
Dominic Thiem,40-40,.75757575,33,3,3
Dominic Thiem,40-50,.625,8,3,4
Dominic Thiem,50-40,.68000001,25,4,3
Donald Young,0-0,.61904764,126,0,0
Donald Young,0-15,.6875,48,0,1
Donald Young,0-30,.66666669,15,0,2
Donald Young,0-40,.80000001,5,0,3
Donald Young,100-100,.5,2,7,7
Donald Young,100-101,0,1,7,7
Donald Young,100-102,0,1,7,7
Donald Young,101-102,1,1,7,7
Donald Young,102-101,1,1,7,7
Donald Young,102-102,1,1,7,7
Donald Young,102-103,1,1,7,7
Donald Young,103-101,0,1,7,7
Donald Young,103-103,0,1,7,7
Donald Young,104-103,1,2,7,7
Donald Young,104-105,1,1,7,7
Donald Young,105-103,0,2,7,7
Donald Young,105-105,1,1,7,7
Donald Young,105-106,1,1,7,8
Donald Young,106-105,0,1,8,7
Donald Young,106-106,1,2,8,8
Donald Young,107-108,1,1,8,8
Donald Young,108-108,1,1,8,8
Donald Young,15-0,.58974361,78,1,0
Donald Young,15-15,.56923079,65,1,1
Donald Young,15-30,.57894737,38,1,2
Donald Young,15-40,.55000001,20,1,3
Donald Young,30-0,.63043481,46,2,0
Donald Young,30-15,.64814812,54,2,1
Donald Young,30-30,.68292683,41,2,2
Donald Young,30-40,.5,24,2,3
Donald Young,40-0,.58620691,29,3,0
Donald Young,40-15,.61702126,47,3,1
Donald Young,40-30,.5869565,46,3,2
Donald Young,40-40,.55172414,58,3,3
Donald Young,40-50,.57692307,26,3,4
Donald Young,50-40,.625,32,4,3
Dudi Sela,0-0,.66666669,42,0,0
Dudi Sela,0-15,.5,14,0,1
Dudi Sela,0-30,.85714287,7,0,2
Dudi Sela,0-40,1,1,0,3
Dudi Sela,15-0,.6785714,28,1,0
Dudi Sela,15-15,.5625,16,1,1
Dudi Sela,15-30,.53846157,13,1,2
Dudi Sela,15-40,.71428573,7,1,3
Dudi Sela,30-0,.7368421,19,2,0
Dudi Sela,30-15,.71428573,14,2,1
Dudi Sela,30-30,.36363637,11,2,2
Dudi Sela,30-40,.83333331,12,2,3
Dudi Sela,40-0,.64285713,14,3,0
Dudi Sela,40-15,.60000002,15,3,1
Dudi Sela,40-30,.80000001,10,3,2
Dudi Sela,40-40,.6111111,18,3,3
Dudi Sela,40-50,.42857143,7,3,4
Dudi Sela,50-40,.72727275,11,4,3
Dusan Lajovic,0-0,.55555558,45,0,0
Dusan Lajovic,0-15,.5,20,0,1
Dusan Lajovic,0-30,.60000002,10,0,2
Dusan Lajovic,0-40,.25,4,0,3
Dusan Lajovic,101-100,1,1,7,7
Dusan Lajovic,102-100,0,1,7,7
Dusan Lajovic,102-103,1,1,7,7
Dusan Lajovic,103-103,0,1,7,7
Dusan Lajovic,103-106,0,1,7,8
Dusan Lajovic,15-0,.63999999,25,1,0
Dusan Lajovic,15-15,.57894737,19,1,1
Dusan Lajovic,15-30,.64285713,14,1,2
Dusan Lajovic,15-40,.66666669,6,1,3
Dusan Lajovic,30-0,.5625,16,2,0
Dusan Lajovic,30-15,.6111111,18,2,1
Dusan Lajovic,30-30,.5625,16,2,2
Dusan Lajovic,30-40,.54545456,11,2,3
Dusan Lajovic,40-0,.77777779,9,3,0
Dusan Lajovic,40-15,.38461539,13,3,1
Dusan Lajovic,40-30,.58823532,17,3,2
Dusan Lajovic,40-40,.625,24,3,3
Dusan Lajovic,40-50,.33333334,9,3,4
Dusan Lajovic,50-40,.46666667,15,4,3
Dustin Brown,0-0,.63934427,61,0,0
Dustin Brown,0-15,.59090906,22,0,1
Dustin Brown,0-30,.66666669,9,0,2
Dustin Brown,0-40,.33333334,3,0,3
Dustin Brown,100-101,1,1,7,7
Dustin Brown,101-101,0,1,7,7
Dustin Brown,102-103,1,1,7,7
Dustin Brown,103-103,1,1,7,7
Dustin Brown,105-104,1,1,7,7
Dustin Brown,106-104,1,1,8,7
Dustin Brown,15-0,.58974361,39,1,0
Dustin Brown,15-15,.62068963,29,1,1
Dustin Brown,15-30,.64705884,17,1,2
Dustin Brown,15-40,.71428573,7,1,3
Dustin Brown,30-0,.56521738,23,2,0
Dustin Brown,30-15,.64285713,28,2,1
Dustin Brown,30-30,.61904764,21,2,2
Dustin Brown,30-40,.61538464,13,2,3
Dustin Brown,40-0,.76923078,13,3,0
Dustin Brown,40-15,.71428573,21,3,1
Dustin Brown,40-30,.47368422,19,3,2
Dustin Brown,40-40,.48837209,43,3,3
Dustin Brown,40-50,.63636363,22,3,4
Dustin Brown,50-40,.47619048,21,4,3
Edouard Roger-Vasselin,0-0,.69999999,60,0,0
Edouard Roger-Vasselin,0-15,.5,18,0,1
Edouard Roger-Vasselin,0-30,.55555558,9,0,2
Edouard Roger-Vasselin,0-40,.25,4,0,3
Edouard Roger-Vasselin,100-100,1,1,7,7
Edouard Roger-Vasselin,101-102,1,1,7,7
Edouard Roger-Vasselin,102-102,1,1,7,7
Edouard Roger-Vasselin,103-104,0,1,7,7
Edouard Roger-Vasselin,103-105,1,1,7,7
Edouard Roger-Vasselin,106-105,1,1,8,7
Edouard Roger-Vasselin,15-0,.5714286,42,1,0
Edouard Roger-Vasselin,15-15,.5925926,27,1,1
Edouard Roger-Vasselin,15-30,.5,16,1,2
Edouard Roger-Vasselin,15-40,.44444445,9,1,3
Edouard Roger-Vasselin,30-0,.5,24,2,0
Edouard Roger-Vasselin,30-15,.60714287,28,2,1
Edouard Roger-Vasselin,30-30,.57894737,19,2,2
Edouard Roger-Vasselin,30-40,.58333331,12,2,3
Edouard Roger-Vasselin,40-0,.66666669,12,3,0
Edouard Roger-Vasselin,40-15,.52380955,21,3,1
Edouard Roger-Vasselin,40-30,.47619048,21,3,2
Edouard Roger-Vasselin,40-40,.58823532,34,3,3
Edouard Roger-Vasselin,40-50,.5,14,3,4
Edouard Roger-Vasselin,50-40,.55000001,20,4,3
Eilas Ymer,0-0,.66666669,9,0,0
Eilas Ymer,0-15,.33333334,3,0,1
Eilas Ymer,0-30,.5,2,0,2
Eilas Ymer,0-40,1,1,0,3
Eilas Ymer,15-0,.66666669,6,1,0
Eilas Ymer,15-15,.66666669,3,1,1
Eilas Ymer,15-30,.5,2,1,2
Eilas Ymer,15-40,0,2,1,3
Eilas Ymer,30-0,.75,4,2,0
Eilas Ymer,30-15,.33333334,3,2,1
Eilas Ymer,30-30,.66666669,3,2,2
Eilas Ymer,30-40,0,1,2,3
Eilas Ymer,40-0,.33333334,3,3,0
Eilas Ymer,40-15,.66666669,3,3,1
Eilas Ymer,40-30,.33333334,3,3,2
Eilas Ymer,40-40,.5,4,3,3
Eilas Ymer,40-50,.5,2,3,4
Eilas Ymer,50-40,.5,2,4,3
Ernests Gulbis,0-0,.69473684,95,0,0
Ernests Gulbis,0-15,.75862068,29,0,1
Ernests Gulbis,0-30,.85714287,7,0,2
Ernests Gulbis,0-40,0,1,0,3
Ernests Gulbis,101-100,1,2,7,7
Ernests Gulbis,102-100,.5,2,7,7
Ernests Gulbis,103-102,.5,2,7,7
Ernests Gulbis,103-103,1,1,7,7
Ernests Gulbis,104-102,0,1,7,7
Ernests Gulbis,104-105,0,1,7,7
Ernests Gulbis,104-106,1,1,7,8
Ernests Gulbis,105-104,1,1,7,7
Ernests Gulbis,106-104,0,1,8,7
Ernests Gulbis,106-107,1,1,8,8
Ernests Gulbis,107-106,0,1,8,8
Ernests Gulbis,107-107,.5,2,8,8
Ernests Gulbis,108-109,0,1,8,8
Ernests Gulbis,15-0,.56060606,66,1,0
Ernests Gulbis,15-15,.52941179,51,1,1
Ernests Gulbis,15-30,.60000002,30,1,2
Ernests Gulbis,15-40,.91666669,12,1,3
Ernests Gulbis,30-0,.54054052,37,2,0
Ernests Gulbis,30-15,.72727275,44,2,1
