"","Topn","Gamescore","Breaks","Frequency"
"174",100,"15-30",0.475,3
"175",100,"15-30",0.5,1
"176",100,"15-30",0.525,4
"177",100,"15-30",0.55,0
"178",100,"15-30",0.575,0
"179",100,"15-30",0.6,0
"180",100,"15-30",0.625,0
"181",100,"15-30",0.65,0
"182",100,"15-30",0.675,0
"183",100,"15-40",0.05,0
"184",100,"15-40",0.075,0
"185",100,"15-40",0.1,0
"186",100,"15-40",0.125,0
"187",100,"15-40",0.15,0
"188",100,"15-40",0.175,0
"189",100,"15-40",0.2,1
"190",100,"15-40",0.225,0
"191",100,"15-40",0.25,2
"192",100,"15-40",0.275,6
"193",100,"15-40",0.3,11
"194",100,"15-40",0.325,15
"195",100,"15-40",0.35,24
"196",100,"15-40",0.375,27
"197",100,"15-40",0.4,20
"198",100,"15-40",0.425,18
"199",100,"15-40",0.45,10
"200",100,"15-40",0.475,3
"201",100,"15-40",0.5,2
"202",100,"15-40",0.525,0
"203",100,"15-40",0.55,0
"204",100,"15-40",0.575,0
"205",100,"15-40",0.6,0
"206",100,"15-40",0.625,0
"207",100,"15-40",0.65,0
"208",100,"15-40",0.675,0
"209",100,"30-0",0.05,0
"210",100,"30-0",0.075,0
"211",100,"30-0",0.1,0
"212",100,"30-0",0.125,0
"213",100,"30-0",0.15,0
"214",100,"30-0",0.175,2
"215",100,"30-0",0.2,1
"216",100,"30-0",0.225,9
"217",100,"30-0",0.25,6
"218",100,"30-0",0.275,22
"219",100,"30-0",0.3,53
"220",100,"30-0",0.325,50
"221",100,"30-0",0.35,34
"222",100,"30-0",0.375,12
"223",100,"30-0",0.4,8
"224",100,"30-0",0.425,5
"225",100,"30-0",0.45,1
"226",100,"30-0",0.475,1
"227",100,"30-0",0.5,0
"228",100,"30-0",0.525,0
"229",100,"30-0",0.55,0
"230",100,"30-0",0.575,0
"231",100,"30-0",0.6,0
"232",100,"30-0",0.625,0
"233",100,"30-0",0.65,0
"234",100,"30-0",0.675,0
"235",100,"30-15",0.05,0
"236",100,"30-15",0.075,0
"237",100,"30-15",0.1,0
"238",100,"30-15",0.125,0
"239",100,"30-15",0.15,0
"240",100,"30-15",0.175,0
"241",100,"30-15",0.2,1
"242",100,"30-15",0.225,4
"243",100,"30-15",0.25,4
"244",100,"30-15",0.275,7
"245",100,"30-15",0.3,21
"246",100,"30-15",0.325,46
"247",100,"30-15",0.35,52
"248",100,"30-15",0.375,38
"249",100,"30-15",0.4,18
"250",100,"30-15",0.425,10
"251",100,"30-15",0.45,3
"252",100,"30-15",0.475,0
"253",100,"30-15",0.5,1
"254",100,"30-15",0.525,1
"255",100,"30-15",0.55,0
"256",100,"30-15",0.575,0
"257",100,"30-15",0.6,0
"258",100,"30-15",0.625,0
"259",100,"30-15",0.65,0
"260",100,"30-15",0.675,0
"261",100,"30-30",0.05,0
"262",100,"30-30",0.075,0
"263",100,"30-30",0.1,0
"264",100,"30-30",0.125,0
"265",100,"30-30",0.15,0
"266",100,"30-30",0.175,0
"267",100,"30-30",0.2,3
"268",100,"30-30",0.225,1
"269",100,"30-30",0.25,6
"270",100,"30-30",0.275,10
"271",100,"30-30",0.3,14
"272",100,"30-30",0.325,33
"273",100,"30-30",0.35,51
"274",100,"30-30",0.375,39
"275",100,"30-30",0.4,18
"276",100,"30-30",0.425,7
"277",100,"30-30",0.45,3
"278",100,"30-30",0.475,2
"279",100,"30-30",0.5,1
"280",100,"30-30",0.525,1
"281",100,"30-30",0.55,0
"282",100,"30-30",0.575,1
"283",100,"30-30",0.6,0
"284",100,"30-30",0.625,0
"285",100,"30-30",0.65,0
"286",100,"30-30",0.675,0
"287",100,"30-40",0.05,0
"288",100,"30-40",0.075,0
"289",100,"30-40",0.1,0
"290",100,"30-40",0.125,0
"291",100,"30-40",0.15,0
"292",100,"30-40",0.175,1
"293",100,"30-40",0.2,2
"294",100,"30-40",0.225,3
"295",100,"30-40",0.25,3
"296",100,"30-40",0.275,4
"297",100,"30-40",0.3,12
"298",100,"30-40",0.325,12
"299",100,"30-40",0.35,29
"300",100,"30-40",0.375,37
"301",100,"30-40",0.4,30
"302",100,"30-40",0.425,17
"303",100,"30-40",0.45,9
"304",100,"30-40",0.475,4
"305",100,"30-40",0.5,0
"306",100,"30-40",0.525,0
"307",100,"30-40",0.55,0
"308",100,"30-40",0.575,0
"309",100,"30-40",0.6,0
"310",100,"30-40",0.625,0
"311",100,"30-40",0.65,0
"312",100,"30-40",0.675,0
"313",100,"40-0",0.05,0
"314",100,"40-0",0.075,0
"315",100,"40-0",0.1,0
"316",100,"40-0",0.125,0
"317",100,"40-0",0.15,1
"318",100,"40-0",0.175,0
"319",100,"40-0",0.2,7
"320",100,"40-0",0.225,4
"321",100,"40-0",0.25,15
"322",100,"40-0",0.275,30
"323",100,"40-0",0.3,40
"324",100,"40-0",0.325,43
"325",100,"40-0",0.35,33
"326",100,"40-0",0.375,9
"327",100,"40-0",0.4,5
"328",100,"40-0",0.425,1
"329",100,"40-0",0.45,0
"330",100,"40-0",0.475,1
"331",100,"40-0",0.5,0
"332",100,"40-0",0.525,0
"333",100,"40-0",0.55,0
"334",100,"40-0",0.575,0
"335",100,"40-0",0.6,0
"336",100,"40-0",0.625,0
"337",100,"40-0",0.65,0
"338",100,"40-0",0.675,0
"339",100,"40-15",0.05,0
"340",100,"40-15",0.075,0
"341",100,"40-15",0.1,0
"342",100,"40-15",0.125,1
"343",100,"40-15",0.15,0
"344",100,"40-15",0.175,0
"345",100,"40-15",0.2,1
"346",100,"40-15",0.225,7
"347",100,"40-15",0.25,6
"348",100,"40-15",0.275,22
"349",100,"40-15",0.3,46
"350",100,"40-15",0.325,58
"351",100,"40-15",0.35,29
"352",100,"40-15",0.375,10
"353",100,"40-15",0.4,16
"354",100,"40-15",0.425,1
"355",100,"40-15",0.45,3
"356",100,"40-15",0.475,0
"357",100,"40-15",0.5,0
"358",100,"40-15",0.525,0
"359",100,"40-15",0.55,0
"360",100,"40-15",0.575,0
"361",100,"40-15",0.6,0
"362",100,"40-15",0.625,0
"363",100,"40-15",0.65,0
"364",100,"40-15",0.675,0
"365",100,"40-30",0.05,0
"366",100,"40-30",0.075,0
"367",100,"40-30",0.1,0
"368",100,"40-30",0.125,0
"369",100,"40-30",0.15,0
"370",100,"40-30",0.175,0
"371",100,"40-30",0.2,1
"372",100,"40-30",0.225,2
"373",100,"40-30",0.25,8
"374",100,"40-30",0.275,12
"375",100,"40-30",0.3,16
"376",100,"40-30",0.325,37
"377",100,"40-30",0.35,39
"378",100,"40-30",0.375,35
"379",100,"40-30",0.4,20
"380",100,"40-30",0.425,15
"381",100,"40-30",0.45,4
"382",100,"40-30",0.475,0
"383",100,"40-30",0.5,0
"384",100,"40-30",0.525,0
"385",100,"40-30",0.55,0
"386",100,"40-30",0.575,0
"387",100,"40-30",0.6,0
"388",100,"40-30",0.625,0
"389",100,"40-30",0.65,0
"390",100,"40-30",0.675,0
"391",100,"40-40",0.05,0
"392",100,"40-40",0.075,0
"393",100,"40-40",0.1,0
"394",100,"40-40",0.125,0
"395",100,"40-40",0.15,0
"396",100,"40-40",0.175,0
"397",100,"40-40",0.2,0
"398",100,"40-40",0.225,1
"399",100,"40-40",0.25,3
"400",100,"40-40",0.275,8
"401",100,"40-40",0.3,17
"402",100,"40-40",0.325,31
"403",100,"40-40",0.35,32
"404",100,"40-40",0.375,33
"405",100,"40-40",0.4,28
"406",100,"40-40",0.425,11
"407",100,"40-40",0.45,6
"408",100,"40-40",0.475,0
"409",100,"40-40",0.5,3
"410",100,"40-40",0.525,0
"411",100,"40-40",0.55,0
"412",100,"40-40",0.575,0
"413",100,"40-40",0.6,0
"414",100,"40-40",0.625,0
"415",100,"40-40",0.65,0
"416",100,"40-40",0.675,0
"417",100,"40-50",0.05,0
"418",100,"40-50",0.075,0
"419",100,"40-50",0.1,0
"420",100,"40-50",0.125,0
"421",100,"40-50",0.15,0
"422",100,"40-50",0.175,1
"423",100,"40-50",0.2,1
"424",100,"40-50",0.225,3
"425",100,"40-50",0.25,4
"426",100,"40-50",0.275,4
"427",100,"40-50",0.3,9
"428",100,"40-50",0.325,12
"429",100,"40-50",0.35,22
"430",100,"40-50",0.375,18
"431",100,"40-50",0.4,28
"432",100,"40-50",0.425,18
"433",100,"40-50",0.45,7
"434",100,"40-50",0.475,2
"435",100,"40-50",0.5,1
"436",100,"40-50",0.525,1
"437",100,"40-50",0.55,1
"438",100,"40-50",0.575,0
"439",100,"40-50",0.6,0
"440",100,"40-50",0.625,0
"441",100,"40-50",0.65,0
"442",100,"40-50",0.675,0
"443",100,"50-40",0.05,0
"444",100,"50-40",0.075,0
"445",100,"50-40",0.1,1
"446",100,"50-40",0.125,0
"447",100,"50-40",0.15,0
"448",100,"50-40",0.175,0
"449",100,"50-40",0.2,1
"450",100,"50-40",0.225,2
"451",100,"50-40",0.25,3
"452",100,"50-40",0.275,7
"453",100,"50-40",0.3,20
"454",100,"50-40",0.325,28
"455",100,"50-40",0.35,41
"456",100,"50-40",0.375,35
"457",100,"50-40",0.4,13
"458",100,"50-40",0.425,11
"459",100,"50-40",0.45,1
"460",100,"50-40",0.475,1
"461",100,"50-40",0.5,0
"462",100,"50-40",0.525,1
"463",100,"50-40",0.55,1
"464",100,"50-40",0.575,0
"465",100,"50-40",0.6,0
"466",100,"50-40",0.625,0
"467",100,"50-40",0.65,0
"468",100,"50-40",0.675,0
"469",75,"0-0",0.05,0
"470",75,"0-0",0.075,0
"471",75,"0-0",0.1,0
"472",75,"0-0",0.125,0
"473",75,"0-0",0.15,0
"474",75,"0-0",0.175,0
"475",75,"0-0",0.2,1
"476",75,"0-0",0.225,2
"477",75,"0-0",0.25,3
"478",75,"0-0",0.275,13
"479",75,"0-0",0.3,27
"480",75,"0-0",0.325,55
"481",75,"0-0",0.35,62
"482",75,"0-0",0.375,47
"483",75,"0-0",0.4,19
"484",75,"0-0",0.425,6
"485",75,"0-0",0.45,3
"486",75,"0-0",0.475,2
"487",75,"0-0",0.5,0
"488",75,"0-0",0.525,0
"489",75,"0-0",0.55,1
"490",75,"0-0",0.575,0
"491",75,"0-0",0.6,0
"492",75,"0-0",0.625,0
"493",75,"0-0",0.65,0
"494",75,"0-0",0.675,0
"495",75,"0-15",0.05,0
