returnername,gamescore,returnPointProbability,returnPointFreq,opponentScore,playerScore
Novak Djokovic,105-103,.66666669,3,7,7
Novak Djokovic,105-104,.80000001,5,7,7
Novak Djokovic,105-105,.71428573,7,7,7
Novak Djokovic,105-106,.33333334,3,7,8
Novak Djokovic,106-103,.5,2,8,7
Novak Djokovic,106-104,.5,2,8,7
Novak Djokovic,106-105,1,1,8,7
Novak Djokovic,106-106,.66666669,3,8,8
Novak Djokovic,106-107,.75,4,8,8
Novak Djokovic,107-106,0,1,8,8
Novak Djokovic,107-107,1,1,8,8
Novak Djokovic,107-108,0,2,8,8
Novak Djokovic,108-107,1,1,8,8
Novak Djokovic,108-108,.33333334,3,8,8
Novak Djokovic,110-109,1,1,8,8
Novak Djokovic,110-110,1,1,8,8
Novak Djokovic,15-0,.37024793,605,1,0
Novak Djokovic,15-15,.38657406,432,1,1
Novak Djokovic,15-30,.42084941,259,1,2
Novak Djokovic,15-40,.36305732,157,1,3
Novak Djokovic,30-0,.33070865,381,2,0
Novak Djokovic,30-15,.38363171,391,2,1
Novak Djokovic,30-30,.41,300,2,2
Novak Djokovic,30-40,.43946189,223,2,3
Novak Djokovic,40-0,.3019608,255,3,0
Novak Djokovic,40-15,.3836478,318,3,1
Novak Djokovic,40-30,.43478259,299,3,2
Novak Djokovic,40-40,.41902834,494,3,3
Novak Djokovic,40-50,.43478259,207,3,4
Novak Djokovic,50-40,.42508709,287,4,3
Dominic Thiem,0-0,.36000001,725,0,0
Dominic Thiem,0-15,.41379312,261,0,1
Dominic Thiem,0-30,.42592594,108,0,2
Dominic Thiem,0-40,.30434781,46,0,3
Dominic Thiem,100-100,.29166666,24,7,7
Dominic Thiem,100-101,.30000001,10,7,7
Dominic Thiem,100-102,.33333334,3,7,7
Dominic Thiem,100-103,.60000002,5,7,7
Dominic Thiem,100-104,.33333334,3,7,7
Dominic Thiem,101-100,0,5,7,7
Dominic Thiem,101-101,.14285715,7,7,7
Dominic Thiem,101-102,.27272728,11,7,7
Dominic Thiem,101-103,.40000001,5,7,7
Dominic Thiem,101-104,0,3,7,7
Dominic Thiem,102-100,.60000002,5,7,7
Dominic Thiem,102-101,.40000001,5,7,7
Dominic Thiem,102-102,.1,10,7,7
Dominic Thiem,102-103,.40000001,5,7,7
Dominic Thiem,102-104,0,5,7,7
Dominic Thiem,102-105,.5,6,7,7
Dominic Thiem,102-106,.33333334,3,7,8
Dominic Thiem,103-100,.33333334,3,7,7
Dominic Thiem,103-101,.25,4,7,7
Dominic Thiem,103-102,.40000001,5,7,7
Dominic Thiem,103-103,.40000001,5,7,7
Dominic Thiem,103-104,.2857143,7,7,7
Dominic Thiem,103-105,0,5,7,7
Dominic Thiem,103-106,0,2,7,8
Dominic Thiem,104-100,.5,2,7,7
Dominic Thiem,104-101,.5,2,7,7
Dominic Thiem,104-102,.25,4,7,7
Dominic Thiem,104-103,.33333334,6,7,7
Dominic Thiem,104-104,.42857143,7,7,7
Dominic Thiem,104-105,.25,8,7,7
Dominic Thiem,104-106,.25,4,7,8
Dominic Thiem,105-101,1,1,7,7
Dominic Thiem,105-102,.33333334,3,7,7
Dominic Thiem,105-103,.80000001,5,7,7
Dominic Thiem,105-104,.5,4,7,7
Dominic Thiem,105-105,.375,8,7,7
Dominic Thiem,105-106,.5714286,7,7,8
Dominic Thiem,106-101,0,1,8,7
Dominic Thiem,106-102,.5,2,8,7
Dominic Thiem,106-103,1,1,8,7
Dominic Thiem,106-104,.33333334,3,8,7
Dominic Thiem,106-105,.33333334,6,8,7
Dominic Thiem,106-106,.40000001,5,8,8
Dominic Thiem,106-107,.66666669,3,8,8
Dominic Thiem,107-106,.66666669,3,8,8
Dominic Thiem,107-107,0,3,8,8
Dominic Thiem,107-108,0,2,8,8
Dominic Thiem,108-108,0,2,8,8
Dominic Thiem,108-109,1,1,8,8
Dominic Thiem,109-110,1,1,8,8
Dominic Thiem,15-0,.34482759,464,1,0
Dominic Thiem,15-15,.31629393,313,1,1
Dominic Thiem,15-30,.36024845,161,1,2
Dominic Thiem,15-40,.2888889,90,1,3
Dominic Thiem,30-0,.36513159,304,2,0
Dominic Thiem,30-15,.33846155,325,2,1
Dominic Thiem,30-30,.38497654,213,2,2
Dominic Thiem,30-40,.33561644,146,2,3
Dominic Thiem,40-0,.29015544,193,3,0
Dominic Thiem,40-15,.33579335,271,3,1
Dominic Thiem,40-30,.3918919,222,3,2
Dominic Thiem,40-40,.37209302,344,3,3
Dominic Thiem,40-50,.3671875,128,3,4
Dominic Thiem,50-40,.36574075,216,4,3
Paul Henri-Mathieu,0-0,.60000002,10,0,0
Paul Henri-Mathieu,0-15,.16666667,6,0,1
Paul Henri-Mathieu,0-30,0,1,0,2
Paul Henri-Mathieu,15-0,.75,4,1,0
Paul Henri-Mathieu,15-15,.375,8,1,1
Paul Henri-Mathieu,15-30,.75,4,1,2
Paul Henri-Mathieu,15-40,0,3,1,3
Paul Henri-Mathieu,30-0,0,1,2,0
Paul Henri-Mathieu,30-15,.60000002,5,2,1
Paul Henri-Mathieu,30-30,.5,4,2,2
Paul Henri-Mathieu,30-40,.40000001,5,2,3
Paul Henri-Mathieu,40-0,0,1,3,0
Paul Henri-Mathieu,40-15,0,2,3,1
Paul Henri-Mathieu,40-30,0,2,3,2
Paul Henri-Mathieu,40-40,.2857143,7,3,3
Paul Henri-Mathieu,40-50,0,2,3,4
Paul Henri-Mathieu,50-40,.40000001,5,4,3
Thanasi Kokkinakis,0-0,.34210527,380,0,0
Thanasi Kokkinakis,0-15,.40000001,130,0,1
Thanasi Kokkinakis,0-30,.42307693,52,0,2
Thanasi Kokkinakis,0-40,.5,22,0,3
Thanasi Kokkinakis,100-100,.33333334,12,7,7
Thanasi Kokkinakis,100-101,.33333334,3,7,7
Thanasi Kokkinakis,100-102,0,1,7,7
Thanasi Kokkinakis,101-100,.33333334,3,7,7
Thanasi Kokkinakis,101-101,0,3,7,7
Thanasi Kokkinakis,101-102,.71428573,7,7,7
Thanasi Kokkinakis,101-103,.40000001,5,7,7
Thanasi Kokkinakis,101-104,1,1,7,7
Thanasi Kokkinakis,101-105,0,1,7,7
Thanasi Kokkinakis,101-106,1,1,7,8
Thanasi Kokkinakis,102-100,0,2,7,7
Thanasi Kokkinakis,102-101,.33333334,3,7,7
Thanasi Kokkinakis,102-102,0,3,7,7
Thanasi Kokkinakis,102-105,.33333334,3,7,7
Thanasi Kokkinakis,102-106,0,1,7,8
Thanasi Kokkinakis,103-100,.5,2,7,7
Thanasi Kokkinakis,103-101,.66666669,3,7,7
Thanasi Kokkinakis,103-102,0,4,7,7
Thanasi Kokkinakis,103-104,1,2,7,7
Thanasi Kokkinakis,103-105,.25,4,7,7
Thanasi Kokkinakis,104-100,0,1,7,7
Thanasi Kokkinakis,104-101,0,1,7,7
Thanasi Kokkinakis,104-102,0,4,7,7
Thanasi Kokkinakis,104-103,.75,4,7,7
Thanasi Kokkinakis,104-104,0,3,7,7
Thanasi Kokkinakis,105-101,0,1,7,7
Thanasi Kokkinakis,105-102,1,1,7,7
Thanasi Kokkinakis,105-103,0,2,7,7
Thanasi Kokkinakis,105-104,0,1,7,7
Thanasi Kokkinakis,105-106,1,1,7,8
Thanasi Kokkinakis,106-101,1,1,8,7
Thanasi Kokkinakis,106-102,1,1,8,7
Thanasi Kokkinakis,106-103,.5,2,8,7
Thanasi Kokkinakis,106-104,.5,2,8,7
Thanasi Kokkinakis,106-105,.2,5,8,7
Thanasi Kokkinakis,106-106,0,1,8,8
Thanasi Kokkinakis,106-107,1,1,8,8
Thanasi Kokkinakis,108-107,0,1,8,8
Thanasi Kokkinakis,15-0,.352,250,1,0
Thanasi Kokkinakis,15-15,.35542169,166,1,1
Thanasi Kokkinakis,15-30,.40449437,89,1,2
Thanasi Kokkinakis,15-40,.36170211,47,1,3
Thanasi Kokkinakis,30-0,.32716051,162,2,0
Thanasi Kokkinakis,30-15,.375,160,2,1
Thanasi Kokkinakis,30-30,.28318584,113,2,2
Thanasi Kokkinakis,30-40,.3548387,62,2,3
Thanasi Kokkinakis,40-0,.3119266,109,3,0
Thanasi Kokkinakis,40-15,.33582088,134,3,1
Thanasi Kokkinakis,40-30,.34126985,126,3,2
Thanasi Kokkinakis,40-40,.35975611,164,3,3
Thanasi Kokkinakis,40-50,.35593221,59,3,4
Thanasi Kokkinakis,50-40,.40952381,105,4,3
Luca Vanni,0-0,.2912088,182,0,0
Luca Vanni,0-15,.3773585,53,0,1
Luca Vanni,0-30,.30000001,20,0,2
Luca Vanni,0-40,.16666667,6,0,3
Luca Vanni,100-100,.25,4,7,7
Luca Vanni,100-101,.25,4,7,7
Luca Vanni,100-102,1,1,7,7
Luca Vanni,100-103,0,1,7,7
Luca Vanni,100-105,1,1,7,7
Luca Vanni,100-106,0,1,7,8
Luca Vanni,101-100,1,1,7,7
Luca Vanni,101-101,.25,4,7,7
Luca Vanni,101-102,0,1,7,7
Luca Vanni,101-103,0,1,7,7
Luca Vanni,102-101,0,1,7,7
Luca Vanni,102-102,1,1,7,7
Luca Vanni,102-103,1,1,7,7
Luca Vanni,102-104,1,1,7,7
Luca Vanni,103-100,1,1,7,7
Luca Vanni,103-101,0,2,7,7
Luca Vanni,103-102,.33333334,3,7,7
Luca Vanni,103-103,1,1,7,7
Luca Vanni,103-104,1,1,7,7
Luca Vanni,103-105,0,1,7,7
Luca Vanni,103-106,0,3,7,8
Luca Vanni,104-102,0,2,7,7
Luca Vanni,104-103,0,1,7,7
Luca Vanni,104-106,.33333334,3,7,8
Luca Vanni,105-102,0,1,7,7
Luca Vanni,105-103,0,1,7,7
Luca Vanni,105-104,0,2,7,7
Luca Vanni,106-101,0,1,8,7
Luca Vanni,106-102,1,1,8,7
Luca Vanni,106-104,0,2,8,7
Luca Vanni,106-105,0,1,8,7
Luca Vanni,15-0,.33333334,129,1,0
Luca Vanni,15-15,.25,76,1,1
Luca Vanni,15-30,.30303031,33,1,2
Luca Vanni,15-40,.53333336,15,1,3
