"","Topn","Gamescore","Breaks","Frequency","Density"
"131",100,"15-15",0.25,0,0
"132",100,"15-15",0.275,0,0
"133",100,"15-15",0.3,0,0
"134",100,"15-15",0.325,0,0
"135",100,"15-15",0.35,0,0
"136",100,"15-15",0.375,1,0.19047619047619
"137",100,"15-15",0.4,0,0
"138",100,"15-15",0.425,0,0
"139",100,"15-15",0.45,1,0.19047619047619
"140",100,"15-15",0.475,4,0.761904761904763
"141",100,"15-15",0.5,4,0.761904761904761
"142",100,"15-15",0.525,5,0.952380952380952
"143",100,"15-15",0.55,10,1.9047619047619
"144",100,"15-15",0.575,23,4.38095238095238
"145",100,"15-15",0.6,41,7.80952380952384
"146",100,"15-15",0.625,53,10.0952380952381
"147",100,"15-15",0.65,39,7.42857142857142
"148",100,"15-15",0.675,20,3.80952380952381
"149",100,"15-15",0.7,4,0.761904761904761
"150",100,"15-15",0.725,5,0.952380952380956
"151",100,"15-15",0.75,0,0
"152",100,"15-15",0.775,0,0
"153",100,"15-15",0.8,0,0
"154",100,"15-15",0.825,0,0
"155",100,"15-15",0.85,0,0
"156",100,"15-15",0.875,0,0
"157",100,"15-30",0.25,0,0
"158",100,"15-30",0.275,0,0
"159",100,"15-30",0.3,0,0
"160",100,"15-30",0.325,0,0
"161",100,"15-30",0.35,1,0.21978021978022
"162",100,"15-30",0.375,0,0
"163",100,"15-30",0.4,0,0
"164",100,"15-30",0.425,0,0
"165",100,"15-30",0.45,2,0.439560439560439
"166",100,"15-30",0.475,2,0.43956043956044
"167",100,"15-30",0.5,5,1.0989010989011
"168",100,"15-30",0.525,8,1.75824175824176
"169",100,"15-30",0.55,20,4.39560439560439
"170",100,"15-30",0.575,33,7.25274725274725
"171",100,"15-30",0.6,40,8.79120879120882
"172",100,"15-30",0.625,34,7.47252747252747
"173",100,"15-30",0.65,20,4.39560439560439
"174",100,"15-30",0.675,9,1.97802197802198
"175",100,"15-30",0.7,4,0.879120879120878
"176",100,"15-30",0.725,2,0.439560439560441
"177",100,"15-30",0.75,1,0.21978021978022
"178",100,"15-30",0.775,1,0.21978021978022
"179",100,"15-30",0.8,0,0
"180",100,"15-30",0.825,0,0
"181",100,"15-30",0.85,0,0
"182",100,"15-30",0.875,0,0
"183",100,"15-40",0.25,0,0
"184",100,"15-40",0.275,0,0
"185",100,"15-40",0.3,0,0
"186",100,"15-40",0.325,0,0
"187",100,"15-40",0.35,1,0.266666666666667
"188",100,"15-40",0.375,1,0.266666666666666
"189",100,"15-40",0.4,1,0.266666666666666
"190",100,"15-40",0.425,0,0
"191",100,"15-40",0.45,0,0
"192",100,"15-40",0.475,2,0.533333333333334
"193",100,"15-40",0.5,5,1.33333333333333
"194",100,"15-40",0.525,9,2.4
"195",100,"15-40",0.55,18,4.8
"196",100,"15-40",0.575,24,6.39999999999999
"197",100,"15-40",0.6,27,7.20000000000003
"198",100,"15-40",0.625,23,6.13333333333333
"199",100,"15-40",0.65,17,4.53333333333333
"200",100,"15-40",0.675,16,4.26666666666666
"201",100,"15-40",0.7,5,1.33333333333333
"202",100,"15-40",0.725,0,0
"203",100,"15-40",0.75,1,0.266666666666666
"204",100,"15-40",0.775,0,0
"205",100,"15-40",0.8,0,0
"206",100,"15-40",0.825,0,0
"207",100,"15-40",0.85,0,0
"208",100,"15-40",0.875,0,0
"209",100,"30-0",0.25,0,0
"210",100,"30-0",0.275,0,0
"211",100,"30-0",0.3,0,0
"212",100,"30-0",0.325,0,0
"213",100,"30-0",0.35,0,0
"214",100,"30-0",0.375,0,0
"215",100,"30-0",0.4,0,0
"216",100,"30-0",0.425,1,0.195121951219512
"217",100,"30-0",0.45,1,0.195121951219512
"218",100,"30-0",0.475,0,0
"219",100,"30-0",0.5,1,0.195121951219512
"220",100,"30-0",0.525,3,0.585365853658536
"221",100,"30-0",0.55,10,1.95121951219512
"222",100,"30-0",0.575,6,1.17073170731707
"223",100,"30-0",0.6,19,3.70731707317074
"224",100,"30-0",0.625,37,7.21951219512195
"225",100,"30-0",0.65,53,10.3414634146341
"226",100,"30-0",0.675,38,7.41463414634146
"227",100,"30-0",0.7,18,3.51219512195122
"228",100,"30-0",0.725,13,2.53658536585367
"229",100,"30-0",0.75,3,0.585365853658536
"230",100,"30-0",0.775,1,0.195121951219512
"231",100,"30-0",0.8,1,0.195121951219512
"232",100,"30-0",0.825,0,0
"233",100,"30-0",0.85,0,0
"234",100,"30-0",0.875,0,0
"235",100,"30-15",0.25,0,0
"236",100,"30-15",0.275,0,0
"237",100,"30-15",0.3,0,0
"238",100,"30-15",0.325,0,0
"239",100,"30-15",0.35,0,0
"240",100,"30-15",0.375,0,0
"241",100,"30-15",0.4,0,0
"242",100,"30-15",0.425,0,0
"243",100,"30-15",0.45,1,0.195121951219512
"244",100,"30-15",0.475,0,0
"245",100,"30-15",0.5,5,0.97560975609756
"246",100,"30-15",0.525,7,1.36585365853658
"247",100,"30-15",0.55,13,2.53658536585366
"248",100,"30-15",0.575,20,3.90243902439024
"249",100,"30-15",0.6,47,9.1707317073171
"250",100,"30-15",0.625,47,9.17073170731707
"251",100,"30-15",0.65,35,6.82926829268292
"252",100,"30-15",0.675,16,3.12195121951219
"253",100,"30-15",0.7,6,1.17073170731707
"254",100,"30-15",0.725,7,1.36585365853659
"255",100,"30-15",0.75,1,0.195121951219512
"256",100,"30-15",0.775,0,0
"257",100,"30-15",0.8,0,0
"258",100,"30-15",0.825,0,0
"259",100,"30-15",0.85,0,0
"260",100,"30-15",0.875,0,0
"261",100,"30-30",0.25,0,0
"262",100,"30-30",0.275,0,0
"263",100,"30-30",0.3,0,0
"264",100,"30-30",0.325,0,0
"265",100,"30-30",0.35,0,0
"266",100,"30-30",0.375,0,0
"267",100,"30-30",0.4,1,0.207253886010362
"268",100,"30-30",0.425,0,0
"269",100,"30-30",0.45,1,0.207253886010362
"270",100,"30-30",0.475,2,0.414507772020726
"271",100,"30-30",0.5,2,0.414507772020725
"272",100,"30-30",0.525,5,1.03626943005181
"273",100,"30-30",0.55,13,2.69430051813471
"274",100,"30-30",0.575,26,5.38860103626943
"275",100,"30-30",0.6,34,7.04663212435236
"276",100,"30-30",0.625,44,9.11917098445595
"277",100,"30-30",0.65,34,7.04663212435232
"278",100,"30-30",0.675,17,3.52331606217616
"279",100,"30-30",0.7,12,2.48704663212435
"280",100,"30-30",0.725,1,0.207253886010363
"281",100,"30-30",0.75,0,0
"282",100,"30-30",0.775,1,0.207253886010362
"283",100,"30-30",0.8,0,0
"284",100,"30-30",0.825,0,0
"285",100,"30-30",0.85,0,0
"286",100,"30-30",0.875,0,0
"287",100,"30-40",0.25,0,0
"288",100,"30-40",0.275,0,0
"289",100,"30-40",0.3,0,0
"290",100,"30-40",0.325,0,0
"291",100,"30-40",0.35,0,0
"292",100,"30-40",0.375,0,0
"293",100,"30-40",0.4,0,0
"294",100,"30-40",0.425,1,0.236686390532545
"295",100,"30-40",0.45,2,0.473372781065088
"296",100,"30-40",0.475,3,0.710059171597634
