returnerid,returnername,gamescore,topn,ones,returnerProbability,returnerFrequency
49,Evgeny Donskoy,0-30,75,1,.53191489,47
49,Evgeny Donskoy,0-40,75,1,.5,22
49,Evgeny Donskoy,15-0,75,1,.66822428,214
49,Evgeny Donskoy,15-15,75,1,.68452382,168
49,Evgeny Donskoy,15-30,75,1,.69230771,78
49,Evgeny Donskoy,15-40,75,1,.62857145,35
49,Evgeny Donskoy,30-0,75,1,.69230771,143
49,Evgeny Donskoy,30-15,75,1,.6100629,159
49,Evgeny Donskoy,30-30,75,1,.69827586,116
49,Evgeny Donskoy,30-40,75,1,.68421054,57
49,Evgeny Donskoy,40-0,75,1,.66666669,99
49,Evgeny Donskoy,40-15,75,1,.74615383,130
49,Evgeny Donskoy,40-30,75,1,.65789473,114
49,Evgeny Donskoy,40-40,75,1,.64102566,78
49,Evgeny Donskoy,40-50,75,1,.67567569,37
49,Evgeny Donskoy,50-40,75,1,.59090906,66
50,Benjamin Becker,0-0,75,1,.67130619,934
50,Benjamin Becker,0-15,75,1,.62866449,307
50,Benjamin Becker,0-30,75,1,.64912283,114
50,Benjamin Becker,0-40,75,1,.64999998,40
50,Benjamin Becker,15-0,75,1,.66188198,627
50,Benjamin Becker,15-15,75,1,.67654324,405
50,Benjamin Becker,15-30,75,1,.61463416,205
50,Benjamin Becker,15-40,75,1,.65714288,105
50,Benjamin Becker,30-0,75,1,.6698795,415
50,Benjamin Becker,30-15,75,1,.65206814,411
50,Benjamin Becker,30-30,75,1,.70260221,269
50,Benjamin Becker,30-40,75,1,.58389264,149
50,Benjamin Becker,40-0,75,1,.69064748,278
50,Benjamin Becker,40-15,75,1,.66101694,354
50,Benjamin Becker,40-30,75,1,.67313915,309
50,Benjamin Becker,40-40,75,1,.62765956,188
50,Benjamin Becker,40-50,75,1,.57608694,92
50,Benjamin Becker,50-40,75,1,.56209153,153
54,Dustin Brown,0-0,75,1,.64326376,527
54,Dustin Brown,0-15,75,1,.62765956,188
54,Dustin Brown,0-30,75,1,.60000002,70
54,Dustin Brown,0-40,75,1,.53571427,28
54,Dustin Brown,15-0,75,1,.60766959,339
54,Dustin Brown,15-15,75,1,.69322711,251
54,Dustin Brown,15-30,75,1,.68907565,119
54,Dustin Brown,15-40,75,1,.59615386,52
54,Dustin Brown,30-0,75,1,.70388347,206
54,Dustin Brown,30-15,75,1,.6638298,235
54,Dustin Brown,30-30,75,1,.65217394,161
54,Dustin Brown,30-40,75,1,.7011494,87
54,Dustin Brown,40-0,75,1,.66206896,145
54,Dustin Brown,40-15,75,1,.73658538,205
54,Dustin Brown,40-30,75,1,.55345911,159
54,Dustin Brown,40-40,75,1,.63636363,132
54,Dustin Brown,40-50,75,1,.56666666,60
54,Dustin Brown,50-40,75,1,.68224299,107
60,Marcos Giron,0-0,75,1,.5625,16
60,Marcos Giron,0-15,75,1,.42857143,7
60,Marcos Giron,0-30,75,1,.75,4
60,Marcos Giron,0-40,75,1,1,1
60,Marcos Giron,15-0,75,1,.55555558,9
60,Marcos Giron,15-15,75,1,.85714287,7
60,Marcos Giron,15-30,75,1,.5,4
60,Marcos Giron,15-40,75,1,.66666669,3
60,Marcos Giron,30-0,75,1,.60000002,5
60,Marcos Giron,30-15,75,1,.5,8
60,Marcos Giron,30-30,75,1,.66666669,6
60,Marcos Giron,30-40,75,1,.75,4
60,Marcos Giron,40-0,75,1,.66666669,3
60,Marcos Giron,40-15,75,1,.80000001,5
60,Marcos Giron,40-30,75,1,.80000001,5
60,Marcos Giron,40-40,75,1,.5,4
60,Marcos Giron,40-50,75,1,1,2
60,Marcos Giron,50-40,75,1,1,4
61,Guilherme Clezar,0-0,75,1,.55263156,38
61,Guilherme Clezar,0-15,75,1,.58823532,17
61,Guilherme Clezar,0-30,75,1,.71428573,7
61,Guilherme Clezar,0-40,75,1,1,2
61,Guilherme Clezar,15-0,75,1,.66666669,21
61,Guilherme Clezar,15-15,75,1,.47058824,17
61,Guilherme Clezar,15-30,75,1,.64285713,14
61,Guilherme Clezar,15-40,75,1,.5714286,7
61,Guilherme Clezar,30-0,75,1,.5714286,14
61,Guilherme Clezar,30-15,75,1,.85714287,14
61,Guilherme Clezar,30-30,75,1,.81818181,11
61,Guilherme Clezar,30-40,75,1,.83333331,6
61,Guilherme Clezar,40-0,75,1,.5,8
61,Guilherme Clezar,40-15,75,1,.6875,16
61,Guilherme Clezar,40-30,75,1,.2857143,14
61,Guilherme Clezar,40-40,75,1,.73333335,15
61,Guilherme Clezar,40-50,75,1,.33333334,6
61,Guilherme Clezar,50-40,75,1,.75,12
63,Guillermo Garcia Lopez,0-0,75,1,.82608694,23
63,Guillermo Garcia Lopez,0-15,75,1,.5,4
63,Guillermo Garcia Lopez,0-30,75,1,1,2
63,Guillermo Garcia Lopez,15-0,75,1,.52631581,19
63,Guillermo Garcia Lopez,15-15,75,1,.27272728,11
63,Guillermo Garcia Lopez,15-30,75,1,.5,10
63,Guillermo Garcia Lopez,15-40,75,1,.80000001,5
63,Guillermo Garcia Lopez,30-0,75,1,.60000002,10
63,Guillermo Garcia Lopez,30-15,75,1,.71428573,7
63,Guillermo Garcia Lopez,30-30,75,1,.85714287,7
63,Guillermo Garcia Lopez,30-40,75,1,.60000002,5
63,Guillermo Garcia Lopez,40-0,75,1,.83333331,6
63,Guillermo Garcia Lopez,40-15,75,1,.5,6
63,Guillermo Garcia Lopez,40-30,75,1,.33333334,9
63,Guillermo Garcia Lopez,40-40,75,1,.55555558,9
63,Guillermo Garcia Lopez,40-50,75,1,.5,6
63,Guillermo Garcia Lopez,50-40,75,1,.42857143,7
64,Facundo Arguello,0-0,75,1,.67500001,80
64,Facundo Arguello,0-15,75,1,.65384614,26
64,Facundo Arguello,0-30,75,1,.33333334,9
64,Facundo Arguello,0-40,75,1,.5,6
64,Facundo Arguello,15-0,75,1,.75925928,54
64,Facundo Arguello,15-15,75,1,.66666669,30
64,Facundo Arguello,15-30,75,1,.76923078,13
64,Facundo Arguello,15-40,75,1,.5,6
64,Facundo Arguello,30-0,75,1,.70731705,41
64,Facundo Arguello,30-15,75,1,.625,32
64,Facundo Arguello,30-30,75,1,.59090906,22
64,Facundo Arguello,30-40,75,1,.75,12
64,Facundo Arguello,40-0,75,1,.65517241,29
64,Facundo Arguello,40-15,75,1,.66666669,30
64,Facundo Arguello,40-30,75,1,.56521738,23
64,Facundo Arguello,40-40,75,1,.7368421,19
64,Facundo Arguello,40-50,75,1,.625,8
64,Facundo Arguello,50-40,75,1,.5,16
67,Matt Reid,0-0,75,1,.76923078,13
67,Matt Reid,0-15,75,1,1,3
67,Matt Reid,15-0,75,1,.5,10
67,Matt Reid,15-15,75,1,.875,8
67,Matt Reid,15-30,75,1,1,1
67,Matt Reid,30-0,75,1,.60000002,5
67,Matt Reid,30-15,75,1,.77777779,9
67,Matt Reid,30-30,75,1,.33333334,3
67,Matt Reid,30-40,75,1,1,2
67,Matt Reid,40-0,75,1,.33333334,3
67,Matt Reid,40-15,75,1,.77777779,9
67,Matt Reid,40-30,75,1,1,3
67,Matt Reid,40-40,75,1,1,2
67,Matt Reid,50-40,75,1,1,2
68,Alexander Zverev,0-0,75,1,.60335195,358
68,Alexander Zverev,0-15,75,1,.67605633,142
68,Alexander Zverev,0-30,75,1,.5,46
68,Alexander Zverev,0-40,75,1,.39130434,23
68,Alexander Zverev,15-0,75,1,.68518519,216
68,Alexander Zverev,15-15,75,1,.64634144,164
68,Alexander Zverev,15-30,75,1,.61728394,81
68,Alexander Zverev,15-40,75,1,.625,40
68,Alexander Zverev,30-0,75,1,.7027027,148
68,Alexander Zverev,30-15,75,1,.5933333,150
68,Alexander Zverev,30-30,75,1,.6036036,111
68,Alexander Zverev,30-40,75,1,.57971013,69
68,Alexander Zverev,40-0,75,1,.77884614,104
68,Alexander Zverev,40-15,75,1,.66964287,112
68,Alexander Zverev,40-30,75,1,.625,104
68,Alexander Zverev,40-40,75,1,.55696201,79
68,Alexander Zverev,40-50,75,1,.63829786,47
68,Alexander Zverev,50-40,75,1,.62711865,59
72,Andreas Vinciguerra,0-0,75,1,.90909094,11
72,Andreas Vinciguerra,0-15,75,1,1,1
72,Andreas Vinciguerra,15-0,75,1,.69999999,10
72,Andreas Vinciguerra,15-15,75,1,1,4
72,Andreas Vinciguerra,30-0,75,1,.85714287,7
72,Andreas Vinciguerra,30-15,75,1,.60000002,5
72,Andreas Vinciguerra,30-30,75,1,1,2
72,Andreas Vinciguerra,40-0,75,1,.83333331,6
72,Andreas Vinciguerra,40-15,75,1,.75,4
72,Andreas Vinciguerra,40-30,75,1,.66666669,3
72,Andreas Vinciguerra,40-40,75,1,1,1
72,Andreas Vinciguerra,50-40,75,1,1,1
73,Lamine Ouahab,0-0,75,1,.875,8
73,Lamine Ouahab,0-15,75,1,1,1
73,Lamine Ouahab,15-0,75,1,.71428573,7
73,Lamine Ouahab,15-15,75,1,.33333334,3
73,Lamine Ouahab,15-30,75,1,.5,2
73,Lamine Ouahab,15-40,75,1,0,1
73,Lamine Ouahab,30-0,75,1,.40000001,5
73,Lamine Ouahab,30-15,75,1,.5,4
73,Lamine Ouahab,30-30,75,1,.66666669,3
73,Lamine Ouahab,30-40,75,1,0,1
73,Lamine Ouahab,40-0,75,1,1,2
73,Lamine Ouahab,40-15,75,1,1,2
73,Lamine Ouahab,40-30,75,1,.5,2
73,Lamine Ouahab,40-40,75,1,1,1
73,Lamine Ouahab,50-40,75,1,1,1
74,Victor Estrella,0-0,75,1,.68115944,138
74,Victor Estrella,0-15,75,1,.65909094,44
74,Victor Estrella,0-30,75,1,.73333335,15
74,Victor Estrella,0-40,75,1,.25,4
74,Victor Estrella,15-0,75,1,.65957445,94
74,Victor Estrella,15-15,75,1,.78688526,61
74,Victor Estrella,15-30,75,1,.66666669,24
74,Victor Estrella,15-40,75,1,.66666669,9
74,Victor Estrella,30-0,75,1,.77419353,62
74,Victor Estrella,30-15,75,1,.61290324,62
74,Victor Estrella,30-30,75,1,.80000001,40
74,Victor Estrella,30-40,75,1,.64285713,14
74,Victor Estrella,40-0,75,1,.70833331,48
74,Victor Estrella,40-15,75,1,.65384614,52
74,Victor Estrella,40-30,75,1,.68000001,50
74,Victor Estrella,40-40,75,1,.68000001,25
74,Victor Estrella,40-50,75,1,.55555558,9
74,Victor Estrella,50-40,75,1,.80000001,20
77,Philip Davydenko,0-0,75,1,.77777779,9
77,Philip Davydenko,0-15,75,1,.5,2
77,Philip Davydenko,0-30,75,1,1,1
77,Philip Davydenko,15-0,75,1,.71428573,7
77,Philip Davydenko,15-15,75,1,.66666669,3
77,Philip Davydenko,15-30,75,1,.5,2
77,Philip Davydenko,15-40,75,1,0,1
77,Philip Davydenko,30-0,75,1,.80000001,5
77,Philip Davydenko,30-15,75,1,.66666669,3
77,Philip Davydenko,30-30,75,1,0,2
77,Philip Davydenko,30-40,75,1,.5,2
77,Philip Davydenko,40-0,75,1,.5,4
77,Philip Davydenko,40-15,75,1,.75,4
77,Philip Davydenko,40-30,75,1,1,1
77,Philip Davydenko,40-40,75,1,1,1
77,Philip Davydenko,50-40,75,1,1,1
81,Ryan Sweeting,0-0,75,1,.69620252,158
81,Ryan Sweeting,0-15,75,1,.66666669,48
81,Ryan Sweeting,0-30,75,1,.8125,16
81,Ryan Sweeting,0-40,75,1,.66666669,3
81,Ryan Sweeting,15-0,75,1,.53636366,110
81,Ryan Sweeting,15-15,75,1,.66265059,83
81,Ryan Sweeting,15-30,75,1,.60975611,41
81,Ryan Sweeting,15-40,75,1,.72222221,18
81,Ryan Sweeting,30-0,75,1,.72881359,59
81,Ryan Sweeting,30-15,75,1,.67605633,71
81,Ryan Sweeting,30-30,75,1,.6875,48
81,Ryan Sweeting,30-40,75,1,.75,28
81,Ryan Sweeting,40-0,75,1,.67441863,43
81,Ryan Sweeting,40-15,75,1,.7096774,62
81,Ryan Sweeting,40-30,75,1,.627451,51
81,Ryan Sweeting,40-40,75,1,.57499999,40
81,Ryan Sweeting,40-50,75,1,.64705884,17
81,Ryan Sweeting,50-40,75,1,.90322578,31
82,Daniel Garza,0-0,75,1,.89999998,10
82,Daniel Garza,0-15,75,1,0,1
82,Daniel Garza,0-30,75,1,1,1
82,Daniel Garza,15-0,75,1,.44444445,9
82,Daniel Garza,15-15,75,1,.80000001,5
82,Daniel Garza,15-30,75,1,1,2
82,Daniel Garza,30-0,75,1,.75,4
82,Daniel Garza,30-15,75,1,.60000002,5
82,Daniel Garza,30-30,75,1,.25,4
82,Daniel Garza,30-40,75,1,.66666669,3
82,Daniel Garza,40-0,75,1,.66666669,3
82,Daniel Garza,40-15,75,1,1,4
82,Daniel Garza,40-30,75,1,0,1
82,Daniel Garza,40-40,75,1,.33333334,3
82,Daniel Garza,40-50,75,1,1,2
82,Daniel Garza,50-40,75,1,.66666669,3
86,Daniel Smethurst,0-0,75,1,.75,16
86,Daniel Smethurst,0-15,75,1,.75,4
86,Daniel Smethurst,0-30,75,1,0,1
86,Daniel Smethurst,0-40,75,1,1,1
86,Daniel Smethurst,15-0,75,1,.5,12
86,Daniel Smethurst,15-15,75,1,.77777779,9
86,Daniel Smethurst,15-30,75,1,0,2
86,Daniel Smethurst,15-40,75,1,1,3
86,Daniel Smethurst,30-0,75,1,1,6
86,Daniel Smethurst,30-15,75,1,.85714287,7
86,Daniel Smethurst,30-30,75,1,1,1
86,Daniel Smethurst,30-40,75,1,.66666669,3
86,Daniel Smethurst,40-0,75,1,.66666669,6
86,Daniel Smethurst,40-15,75,1,.625,8
86,Daniel Smethurst,40-30,75,1,.75,4
86,Daniel Smethurst,40-40,75,1,.66666669,3
86,Daniel Smethurst,40-50,75,1,1,1
86,Daniel Smethurst,50-40,75,1,1,3
87,Joao Souza,0-0,75,1,.75367647,272
87,Joao Souza,0-15,75,1,.67164177,67
87,Joao Souza,0-30,75,1,.63636363,22
87,Joao Souza,0-40,75,1,.625,8
87,Joao Souza,15-0,75,1,.65853661,205
87,Joao Souza,15-15,75,1,.5826087,115
87,Joao Souza,15-30,75,1,.58064514,62
87,Joao Souza,15-40,75,1,.74193549,31
87,Joao Souza,30-0,75,1,.7037037,135
87,Joao Souza,30-15,75,1,.69158876,107
87,Joao Souza,30-30,75,1,.66666669,69
87,Joao Souza,30-40,75,1,.56521738,46
87,Joao Souza,40-0,75,1,.62105262,95
87,Joao Souza,40-15,75,1,.68181819,110
87,Joao Souza,40-30,75,1,.65432101,81
87,Joao Souza,40-40,75,1,.72222221,54
87,Joao Souza,40-50,75,1,.61904764,21
87,Joao Souza,50-40,75,1,.68085104,47
88,Ricardo Mello,0-0,75,1,.58333331,12
88,Ricardo Mello,0-15,75,1,.60000002,5
88,Ricardo Mello,0-30,75,1,.5,2
88,Ricardo Mello,0-40,75,1,1,1
88,Ricardo Mello,15-0,75,1,.42857143,7
88,Ricardo Mello,15-15,75,1,.42857143,7
88,Ricardo Mello,15-30,75,1,.40000001,5
88,Ricardo Mello,15-40,75,1,.25,4
88,Ricardo Mello,30-0,75,1,.66666669,3
88,Ricardo Mello,30-15,75,1,.5,4
88,Ricardo Mello,30-30,75,1,.5,4
88,Ricardo Mello,30-40,75,1,.33333334,3
88,Ricardo Mello,40-0,75,1,1,2
88,Ricardo Mello,40-15,75,1,.5,2
88,Ricardo Mello,40-30,75,1,.66666669,3
88,Ricardo Mello,40-40,75,1,1,2
88,Ricardo Mello,50-40,75,1,.5,2
90,Bastian Knittel,0-0,75,1,.70833331,24
90,Bastian Knittel,0-15,75,1,.85714287,7
90,Bastian Knittel,0-30,75,1,1,1
90,Bastian Knittel,15-0,75,1,.58823532,17
90,Bastian Knittel,15-15,75,1,.84615386,13
90,Bastian Knittel,15-30,75,1,.66666669,3
90,Bastian Knittel,15-40,75,1,1,1
90,Bastian Knittel,30-0,75,1,.5,10
90,Bastian Knittel,30-15,75,1,.625,16
90,Bastian Knittel,30-30,75,1,.875,8
90,Bastian Knittel,30-40,75,1,.5,2
90,Bastian Knittel,40-0,75,1,.60000002,5
90,Bastian Knittel,40-15,75,1,.91666669,12
90,Bastian Knittel,40-30,75,1,.625,8
90,Bastian Knittel,40-40,75,1,1,4
90,Bastian Knittel,40-50,75,1,0,1
90,Bastian Knittel,50-40,75,1,.75,4
93,Rui Machado,0-0,75,1,.61682242,107
93,Rui Machado,0-15,75,1,.56097561,41
93,Rui Machado,0-30,75,1,.5,18
93,Rui Machado,0-40,75,1,.55555558,9
93,Rui Machado,15-0,75,1,.69696969,66
93,Rui Machado,15-15,75,1,.62790698,43
93,Rui Machado,15-30,75,1,.63999999,25
93,Rui Machado,15-40,75,1,.2857143,14
93,Rui Machado,30-0,75,1,.76086956,46
93,Rui Machado,30-15,75,1,.60526317,38
93,Rui Machado,30-30,75,1,.74193549,31
93,Rui Machado,30-40,75,1,.91666669,12
93,Rui Machado,40-0,75,1,.60000002,35
93,Rui Machado,40-15,75,1,.72972971,37
93,Rui Machado,40-30,75,1,.54545456,33
93,Rui Machado,40-40,75,1,.5,26
93,Rui Machado,40-50,75,1,.5,14
93,Rui Machado,50-40,75,1,.85000002,20
95,Kenny De Schepper,0-0,75,1,.578125,64
95,Kenny De Schepper,0-15,75,1,.44444445,27
95,Kenny De Schepper,0-30,75,1,.53333336,15
95,Kenny De Schepper,0-40,75,1,.14285715,7
95,Kenny De Schepper,15-0,75,1,.67567569,37
95,Kenny De Schepper,15-15,75,1,.625,24
95,Kenny De Schepper,15-30,75,1,.58823532,17
95,Kenny De Schepper,15-40,75,1,.625,8
95,Kenny De Schepper,30-0,75,1,.72000003,25
95,Kenny De Schepper,30-15,75,1,.63636363,22
95,Kenny De Schepper,30-30,75,1,.77777779,18
95,Kenny De Schepper,30-40,75,1,.77777779,9
95,Kenny De Schepper,40-0,75,1,.77777779,18
95,Kenny De Schepper,40-15,75,1,.77777779,18
95,Kenny De Schepper,40-30,75,1,.66666669,18
95,Kenny De Schepper,40-40,75,1,.76923078,13
95,Kenny De Schepper,40-50,75,1,.5,4
95,Kenny De Schepper,50-40,75,1,.83333331,12
96,Alejandro Falla,0-0,75,1,.64102566,741
96,Alejandro Falla,0-15,75,1,.60526317,266
96,Alejandro Falla,0-30,75,1,.55238098,105
96,Alejandro Falla,0-40,75,1,.63829786,47
96,Alejandro Falla,15-0,75,1,.63578945,475
96,Alejandro Falla,15-15,75,1,.59402984,335
96,Alejandro Falla,15-30,75,1,.6082474,194
96,Alejandro Falla,15-40,75,1,.60377359,106
96,Alejandro Falla,30-0,75,1,.68874174,302
96,Alejandro Falla,30-15,75,1,.62116039,293
96,Alejandro Falla,30-30,75,1,.62882096,229
96,Alejandro Falla,30-40,75,1,.5704698,149
96,Alejandro Falla,40-0,75,1,.64903843,208
96,Alejandro Falla,40-15,75,1,.65882355,255
96,Alejandro Falla,40-30,75,1,.62770563,231
96,Alejandro Falla,40-40,75,1,.63742691,171
96,Alejandro Falla,40-50,75,1,.51162791,86
96,Alejandro Falla,50-40,75,1,.58273381,139
99,Marco Chiudinelli,0-0,75,1,.66009849,203
99,Marco Chiudinelli,0-15,75,1,.65217394,69
99,Marco Chiudinelli,0-30,75,1,.58333331,24
99,Marco Chiudinelli,0-40,75,1,.69999999,10
99,Marco Chiudinelli,15-0,75,1,.62686568,134
99,Marco Chiudinelli,15-15,75,1,.7263158,95
99,Marco Chiudinelli,15-30,75,1,.625,40
99,Marco Chiudinelli,15-40,75,1,.54545456,22
99,Marco Chiudinelli,30-0,75,1,.70238096,84
99,Marco Chiudinelli,30-15,75,1,.64893615,94
99,Marco Chiudinelli,30-30,75,1,.65517241,58
99,Marco Chiudinelli,30-40,75,1,.6875,32
99,Marco Chiudinelli,40-0,75,1,.71186441,59
99,Marco Chiudinelli,40-15,75,1,.67948717,78
99,Marco Chiudinelli,40-30,75,1,.61904764,63
99,Marco Chiudinelli,40-40,75,1,.69565219,46
99,Marco Chiudinelli,40-50,75,1,.70588237,17
99,Marco Chiudinelli,50-40,75,1,.70731705,41
103,Jason Kubler,0-0,75,1,.5714286,14
103,Jason Kubler,0-15,75,1,.5,6
103,Jason Kubler,0-30,75,1,.33333334,3
103,Jason Kubler,0-40,75,1,.5,2
103,Jason Kubler,15-0,75,1,.625,8
103,Jason Kubler,15-15,75,1,.5,6
103,Jason Kubler,15-30,75,1,.5,4
103,Jason Kubler,15-40,75,1,0,3
103,Jason Kubler,30-0,75,1,.40000001,5
103,Jason Kubler,30-15,75,1,.33333334,6
103,Jason Kubler,30-30,75,1,.66666669,6
103,Jason Kubler,30-40,75,1,1,2
103,Jason Kubler,40-0,75,1,0,2
103,Jason Kubler,40-15,75,1,.75,4
103,Jason Kubler,40-30,75,1,.60000002,5
103,Jason Kubler,40-40,75,1,.5,4
103,Jason Kubler,40-50,75,1,.5,2
103,Jason Kubler,50-40,75,1,.66666669,3
104,Juan Carlos Ferrero,0-0,75,1,.60619467,226
104,Juan Carlos Ferrero,0-15,75,1,.62921351,89
104,Juan Carlos Ferrero,0-30,75,1,.66666669,33
104,Juan Carlos Ferrero,0-40,75,1,.81818181,11
104,Juan Carlos Ferrero,15-0,75,1,.62043798,137
104,Juan Carlos Ferrero,15-15,75,1,.60185188,108
104,Juan Carlos Ferrero,15-30,75,1,.64615387,65
104,Juan Carlos Ferrero,15-40,75,1,.53125,32
104,Juan Carlos Ferrero,30-0,75,1,.5529412,85
104,Juan Carlos Ferrero,30-15,75,1,.57281554,103
104,Juan Carlos Ferrero,30-30,75,1,.62790698,86
104,Juan Carlos Ferrero,30-40,75,1,.65306121,49
104,Juan Carlos Ferrero,40-0,75,1,.70212764,47
104,Juan Carlos Ferrero,40-15,75,1,.67123288,73
104,Juan Carlos Ferrero,40-30,75,1,.55128205,78
104,Juan Carlos Ferrero,40-40,75,1,.58208954,67
104,Juan Carlos Ferrero,40-50,75,1,.6111111,36
104,Juan Carlos Ferrero,50-40,75,1,.66037738,53
110,Gianni Mina,0-0,75,1,.69999999,10
110,Gianni Mina,0-15,75,1,.33333334,3
110,Gianni Mina,0-30,75,1,0,2
110,Gianni Mina,0-40,75,1,1,2
110,Gianni Mina,15-0,75,1,.71428573,7
110,Gianni Mina,15-15,75,1,.66666669,3
110,Gianni Mina,15-30,75,1,0,1
110,Gianni Mina,15-40,75,1,.66666669,3
110,Gianni Mina,30-0,75,1,.80000001,5
110,Gianni Mina,30-15,75,1,.33333334,3
110,Gianni Mina,30-30,75,1,1,2
110,Gianni Mina,30-40,75,1,1,2
110,Gianni Mina,40-0,75,1,.5,4
110,Gianni Mina,40-15,75,1,1,3
110,Gianni Mina,40-30,75,1,1,2
110,Gianni Mina,40-40,75,1,1,2
110,Gianni Mina,50-40,75,1,1,2
115,Pedro Sousa,0-0,75,1,.4375,16
115,Pedro Sousa,0-15,75,1,.44444445,9
115,Pedro Sousa,0-30,75,1,.2,5
115,Pedro Sousa,0-40,75,1,.5,4
115,Pedro Sousa,15-0,75,1,.42857143,7
115,Pedro Sousa,15-15,75,1,.5,8
115,Pedro Sousa,15-30,75,1,.60000002,5
115,Pedro Sousa,15-40,75,1,.75,4
115,Pedro Sousa,30-0,75,1,.33333334,3
115,Pedro Sousa,30-15,75,1,.83333331,6
115,Pedro Sousa,30-30,75,1,.5,4
115,Pedro Sousa,30-40,75,1,.2,5
115,Pedro Sousa,40-0,75,1,0,1
115,Pedro Sousa,40-15,75,1,.66666669,6
115,Pedro Sousa,40-30,75,1,.5,4
115,Pedro Sousa,40-40,75,1,0,3
115,Pedro Sousa,40-50,75,1,.66666669,3
115,Pedro Sousa,50-40,75,1,1,1
117,Josselin Ouanna,0-0,75,1,.375,16
117,Josselin Ouanna,0-15,75,1,.69999999,10
117,Josselin Ouanna,0-30,75,1,.33333334,3
117,Josselin Ouanna,0-40,75,1,1,2
117,Josselin Ouanna,15-0,75,1,.83333331,6
117,Josselin Ouanna,15-15,75,1,.875,8
117,Josselin Ouanna,15-30,75,1,0,2
117,Josselin Ouanna,15-40,75,1,1,4
117,Josselin Ouanna,30-0,75,1,1,5
117,Josselin Ouanna,30-15,75,1,1,7
117,Josselin Ouanna,30-40,75,1,1,4
117,Josselin Ouanna,40-0,75,1,.40000001,5
117,Josselin Ouanna,40-15,75,1,.5,10
117,Josselin Ouanna,40-30,75,1,.40000001,5
117,Josselin Ouanna,40-40,75,1,1,7
117,Josselin Ouanna,40-50,75,1,1,1
117,Josselin Ouanna,50-40,75,1,.42857143,7
120,Tobias Kamke,0-0,75,1,.61803281,610
120,Tobias Kamke,0-15,75,1,.6025641,234
120,Tobias Kamke,0-30,75,1,.58064514,93
120,Tobias Kamke,0-40,75,1,.53846157,39
120,Tobias Kamke,15-0,75,1,.59946948,377
120,Tobias Kamke,15-15,75,1,.62328768,292
120,Tobias Kamke,15-30,75,1,.65853661,164
120,Tobias Kamke,15-40,75,1,.71428573,77
120,Tobias Kamke,30-0,75,1,.65486723,226
120,Tobias Kamke,30-15,75,1,.61923075,260
120,Tobias Kamke,30-30,75,1,.67149758,207
120,Tobias Kamke,30-40,75,1,.62601626,123
120,Tobias Kamke,40-0,75,1,.66891891,148
120,Tobias Kamke,40-15,75,1,.66190475,210
120,Tobias Kamke,40-30,75,1,.62380952,210
120,Tobias Kamke,40-40,75,1,.55769229,156
120,Tobias Kamke,40-50,75,1,.60000002,85
120,Tobias Kamke,50-40,75,1,.62096775,124
127,Josko Topic,0-0,75,1,.66666669,6
127,Josko Topic,0-15,75,1,1,2
127,Josko Topic,15-0,75,1,.5,4
127,Josko Topic,15-15,75,1,.25,4
127,Josko Topic,15-30,75,1,.66666669,3
127,Josko Topic,15-40,75,1,0,1
127,Josko Topic,30-0,75,1,1,2
127,Josko Topic,30-15,75,1,1,1
127,Josko Topic,30-30,75,1,1,2
127,Josko Topic,40-0,75,1,.5,2
127,Josko Topic,40-15,75,1,.5,2
127,Josko Topic,40-30,75,1,.66666669,3
127,Josko Topic,40-40,75,1,1,1
127,Josko Topic,50-40,75,1,1,1
129,Kyle Edmund,0-0,75,1,.72000003,75
129,Kyle Edmund,0-15,75,1,.71428573,21
129,Kyle Edmund,0-30,75,1,.83333331,6
129,Kyle Edmund,0-40,75,1,1,1
129,Kyle Edmund,15-0,75,1,.74074072,54
129,Kyle Edmund,15-15,75,1,.7241379,29
129,Kyle Edmund,15-30,75,1,.53846157,13
129,Kyle Edmund,15-40,75,1,.42857143,7
129,Kyle Edmund,30-0,75,1,.69999999,40
129,Kyle Edmund,30-15,75,1,.66666669,33
129,Kyle Edmund,30-30,75,1,.6111111,18
129,Kyle Edmund,30-40,75,1,1,10
129,Kyle Edmund,40-0,75,1,.64285713,28
129,Kyle Edmund,40-15,75,1,.625,32
129,Kyle Edmund,40-30,75,1,.43478259,23
129,Kyle Edmund,40-40,75,1,.65217394,23
129,Kyle Edmund,40-50,75,1,.77777779,9
129,Kyle Edmund,50-40,75,1,.71428573,21
133,Tim Smyczek,0-0,75,1,.6041131,389
133,Tim Smyczek,0-15,75,1,.62987012,154
133,Tim Smyczek,0-30,75,1,.57894737,57
133,Tim Smyczek,0-40,75,1,.58333331,24
133,Tim Smyczek,15-0,75,1,.62553191,235
133,Tim Smyczek,15-15,75,1,.68108106,185
133,Tim Smyczek,15-30,75,1,.65217394,92
133,Tim Smyczek,15-40,75,1,.54347825,46
133,Tim Smyczek,30-0,75,1,.69387758,147
133,Tim Smyczek,30-15,75,1,.5847953,171
133,Tim Smyczek,30-30,75,1,.70229006,131
133,Tim Smyczek,30-40,75,1,.59375,64
133,Tim Smyczek,40-0,75,1,.63725489,102
133,Tim Smyczek,40-15,75,1,.64963502,137
133,Tim Smyczek,40-30,75,1,.67142856,140
133,Tim Smyczek,40-40,75,1,.65476191,84
133,Tim Smyczek,40-50,75,1,.62162161,37
133,Tim Smyczek,50-40,75,1,.6857143,70
